,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
123,151956.0,85777.0,151956.0,2.6,1.4,2.8,6.6,5.8,218.4,795.38,73.0,6662.0,16.0,85777.0,2.6,1.7,2.9,7.6,6.5,204.7,805.86,50.0,6613.0,40.0
124,160897.0,71849.0,160897.0,62.6,38.4,69.9,114.1,26.9,26.5,867.6,84.0,4577.0,20.0,71849.0,30.2,19.0,32.7,53.9,20.1,52.3,869.17,58.0,4566.0,36.0
125,160905.0,44157.0,160905.0,0.6,0.4,0.9,3.4,3.4,277.2,868.45,90.0,4407.0,18.0,44157.0,23.6,17.0,26.2,93.7,24.4,35.9,633.88,74.0,4533.0,83.0
126,162559.0,111526.0,162559.0,0.3,0.0,0.3,3.4,3.4,276.9,869.08,78.0,4503.0,19.0,111526.0,27.2,17.1,32.3,,,,870.38,54.0,4514.0,45.0
127,168911.0,44237.0,168911.0,3.3,2.3,3.5,9.5,7.6,182.3,850.37,81.0,5119.0,19.0,44237.0,31.2,19.6,38.9,60.0,21.0,48.1,853.04,53.0,5041.0,41.0
128,168933.0,94765.0,168933.0,1.0,0.4,1.4,4.8,4.5,248.0,849.36,86.0,5140.0,16.0,94765.0,32.3,19.9,39.0,60.4,21.1,47.3,855.16,50.0,5008.0,46.0
129,170521.0,10808.0,170521.0,7.2,4.5,7.7,13.9,9.8,146.3,873.71,93.0,4361.0,18.0,10808.0,17.7,12.1,19.7,33.8,16.2,77.1,,,4418.0,
130,170747.0,121651.0,170747.0,0.0,0.0,0.0,0.5,0.6,368.1,846.5,87.0,5254.0,16.0,121651.0,2.5,0.0,3.2,,,,848.1,53.0,5258.0,38.0
131,174405.0,120523.0,174405.0,16.2,11.7,17.3,30.0,15.3,84.7,868.61,91.0,4527.0,18.0,120523.0,24.8,14.6,27.8,,,,871.72,52.0,4535.0,57.0
132,174557.0,44157.0,174557.0,8.6,4.4,11.6,13.3,9.5,150.4,864.01,85.0,4684.0,21.0,44157.0,23.6,17.0,26.2,93.7,24.4,35.9,633.88,74.0,4533.0,83.0
133,174575.0,25901.0,174575.0,0.3,0.0,0.5,2.7,2.8,293.4,869.0,85.0,4536.0,19.0,25901.0,15.3,9.3,17.7,22.1,13.0,106.8,868.67,54.0,4583.0,40.0
134,175057.0,77.0,175057.0,3.5,2.4,4.2,10.5,8.1,173.0,858.4,87.0,4860.0,14.0,77.0,40.7,31.0,49.5,220.8,33.1,14.2,,,,
135,176033.0,18249.0,176033.0,14.0,8.9,14.4,24.3,13.6,99.8,878.88,75.0,4251.0,22.0,18249.0,34.2,22.0,40.6,59.7,21.0,47.9,878.3,72.0,4268.0,28.0
136,180593.0,47171.0,180593.0,2.9,2.1,3.0,7.9,6.6,200.8,877.43,74.0,4283.0,26.0,47171.0,39.9,25.5,52.0,70.9,22.5,41.1,,,4473.0,
