,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
29,43125.0,122091.0,43125.0,0.9,0.6,1.1,3.2,3.3,281.2,866.21,68.0,4596.0,30.0,122091.0,23.4,12.6,25.9,,,,868.53,56.0,4574.0,41.0
30,43141.0,87119.0,43141.0,0.0,0.0,0.4,1.5,1.7,329.0,860.17,81.0,4784.0,18.0,87119.0,16.3,10.1,17.5,28.7,14.9,87.7,862.64,63.0,4737.0,30.0
31,43185.0,97391.0,43185.0,3.1,1.8,3.3,7.7,6.5,202.7,875.1,79.0,4297.0,22.0,97391.0,37.4,24.4,48.5,96.9,25.2,31.9,859.89,33.0,4254.0,37.0
32,43259.0,33191.0,43259.0,0.1,0.0,0.1,3.4,3.4,276.5,863.2,80.0,4732.0,36.0,33191.0,18.8,12.1,19.5,32.6,15.9,79.4,861.55,67.0,4785.0,34.0
33,43465.0,5572.0,43465.0,1.9,1.1,2.8,5.4,5.0,235.9,873.32,78.0,4408.0,25.0,5572.0,22.4,17.4,25.1,53.6,20.1,52.4,873.69,57.0,4414.0,67.0
34,43477.0,42981.0,43477.0,52.2,29.9,69.4,86.7,24.3,34.2,870.09,81.0,4505.0,20.0,42981.0,17.4,11.9,20.7,37.7,16.9,73.9,869.7,75.0,4507.0,22.0
35,43485.0,42097.0,43485.0,0.4,0.0,0.9,2.9,3.0,289.4,847.92,76.0,5175.0,31.0,42097.0,8.7,7.4,9.0,56.9,17.0,101.7,855.65,48.0,5178.0,49.0
36,48525.0,171249.0,48525.0,1.7,0.8,2.7,5.4,5.0,237.6,872.25,79.0,4415.0,23.0,171249.0,24.1,13.1,26.1,35.9,16.7,73.4,874.06,65.0,4442.0,32.0
37,54927.0,169779.0,54927.0,0.5,0.1,0.5,2.5,2.6,300.1,859.02,76.0,4721.0,26.0,169779.0,36.5,24.1,46.9,65.9,21.9,43.8,864.57,58.0,4758.0,38.0
38,55877.0,984.0,55877.0,0.0,0.0,0.0,0.2,0.2,381.8,856.64,86.0,4910.0,25.0,984.0,15.4,11.8,17.4,38.2,17.0,73.0,860.73,54.0,,39.0
39,55889.0,984.0,55889.0,0.0,0.0,0.0,0.6,0.7,363.2,857.36,80.0,4912.0,27.0,984.0,15.4,11.8,17.4,38.2,17.0,73.0,860.73,54.0,,39.0
40,59593.0,35199.0,59593.0,0.9,0.3,1.0,3.6,3.6,272.7,809.45,76.0,6443.0,19.0,35199.0,12.7,8.8,13.0,25.1,13.9,97.2,810.95,44.0,6443.0,53.0
41,64177.0,49155.0,64177.0,0.3,0.1,0.4,2.2,2.4,308.0,877.5,78.0,4288.0,25.0,49155.0,32.4,22.1,35.5,56.5,20.5,50.2,878.97,59.0,4265.0,37.0
42,66959.0,183011.0,66959.0,0.4,0.1,0.6,2.6,2.7,298.2,789.59,80.0,7118.0,13.0,183011.0,5.9,3.2,6.0,10.2,8.0,175.1,788.16,48.0,7199.0,38.0
43,67045.0,183011.0,67045.0,0.8,0.4,0.8,2.8,2.9,290.6,,,7119.0,,183011.0,5.9,3.2,6.0,10.2,8.0,175.1,788.16,48.0,7199.0,38.0
44,67047.0,183011.0,67047.0,0.2,0.0,0.2,1.7,1.9,323.1,789.49,76.0,7119.0,14.0,183011.0,5.9,3.2,6.0,10.2,8.0,175.1,788.16,48.0,7199.0,38.0
45,70953.0,129303.0,70953.0,0.0,0.0,0.0,1.4,1.6,332.5,869.61,79.0,4509.0,21.0,129303.0,31.6,20.9,36.8,,,,869.92,56.0,4513.0,39.0
46,71227.0,87209.0,71227.0,0.4,0.1,0.4,2.1,2.3,311.1,808.13,83.0,6489.0,18.0,87209.0,2.9,2.0,3.5,8.6,7.1,192.2,811.61,43.0,6402.0,52.0
47,74623.0,3571.0,74623.0,95.3,58.5,101.8,148.3,29.3,20.8,853.61,75.0,5036.0,23.0,3571.0,0.0,0.0,0.0,,,,852.32,52.0,5038.0,46.0
48,75073.0,1092.0,75073.0,0.5,0.2,1.0,3.7,3.7,269.6,848.53,74.0,5169.0,22.0,1092.0,21.9,14.8,24.0,35.9,16.7,73.5,,,5209.0,
49,75475.0,90285.0,75475.0,0.5,0.0,0.6,2.6,2.7,297.4,879.38,80.0,4222.0,21.0,90285.0,52.3,30.0,68.6,113.3,26.4,28.9,879.79,56.0,4222.0,42.0
50,76897.0,81323.0,76897.0,1.2,1.0,1.2,4.3,4.1,258.1,805.62,77.0,6582.0,15.0,81323.0,4.3,2.6,4.5,9.2,7.3,192.3,806.34,52.0,6579.0,36.0
51,77941.0,80287.0,77941.0,2.2,1.6,2.4,8.0,6.7,199.2,869.96,75.0,4528.0,20.0,80287.0,27.8,19.1,32.5,50.6,19.6,55.2,870.22,51.0,4525.0,42.0
52,85043.0,87469.0,85043.0,0.0,0.0,0.0,0.1,0.1,385.8,793.98,79.0,6967.0,26.0,87469.0,2.1,1.3,2.4,6.5,5.7,219.5,794.58,65.0,6967.0,22.0
53,87881.0,204025.0,87881.0,0.0,0.0,0.0,1.6,1.7,327.5,857.98,83.0,4874.0,21.0,204025.0,21.3,12.8,23.8,31.0,15.5,83.0,859.28,56.0,4902.0,39.0
54,87895.0,91661.0,87895.0,0.0,0.0,0.1,0.6,0.7,363.2,863.22,79.0,4682.0,30.0,91661.0,32.0,20.6,42.3,60.2,21.1,47.4,863.44,58.0,4721.0,37.0
55,88461.0,87209.0,88461.0,0.8,0.2,1.2,3.2,3.2,282.6,810.77,75.0,6404.0,25.0,87209.0,2.9,2.0,3.5,8.6,7.1,192.2,811.61,43.0,6402.0,52.0
56,88627.0,62211.0,88627.0,1.7,1.0,2.0,5.3,5.0,237.7,868.06,79.0,4578.0,20.0,62211.0,32.4,20.0,36.9,53.8,20.1,52.3,869.23,59.0,4556.0,35.0
57,90085.0,134660.0,90085.0,1.8,0.8,2.2,5.7,5.2,233.1,853.73,76.0,5025.0,30.0,134660.0,22.8,9.3,25.2,,,,,,4931.0,
58,98127.0,171249.0,98127.0,0.4,0.0,0.8,3.9,3.8,267.4,872.8,93.0,4415.0,13.0,171249.0,24.1,13.1,26.1,35.9,16.7,73.4,874.06,65.0,4442.0,32.0
59,101631.0,90257.0,101631.0,0.2,0.0,0.4,2.0,2.1,315.7,834.88,69.0,5589.0,36.0,90257.0,16.3,10.4,20.1,34.0,16.2,77.3,836.84,49.0,5592.0,47.0
60,103470.0,120687.0,103470.0,0.8,0.1,1.7,3.0,3.1,286.8,795.57,77.0,6934.0,16.0,120687.0,0.4,0.0,0.7,,,,794.52,46.0,6978.0,42.0
61,103534.0,112754.0,103534.0,0.0,0.0,0.0,0.1,0.1,384.5,822.44,80.0,6007.0,24.0,112754.0,29.4,19.4,34.4,69.0,22.1,43.1,823.77,64.0,6159.0,31.0
62,103722.0,110975.0,103722.0,0.0,0.0,0.0,0.8,0.9,357.8,752.18,78.0,8395.0,15.0,110975.0,0.1,0.0,0.4,1.3,1.5,336.1,681.77,74.0,8396.0,47.0
63,106242.0,1092.0,106242.0,0.0,0.0,0.4,1.3,1.5,336.7,853.63,82.0,5026.0,16.0,1092.0,21.9,14.8,24.0,35.9,16.7,73.5,,,5209.0,
64,106264.0,102166.0,106264.0,0.0,0.0,0.0,0.6,0.7,362.6,872.42,79.0,4447.0,26.0,102166.0,29.5,17.9,34.1,53.9,20.1,52.2,872.04,52.0,4447.0,44.0
65,106478.0,5460.0,106478.0,1.0,0.0,1.0,2.9,3.0,289.4,875.35,74.0,4342.0,29.0,5460.0,30.4,20.7,35.2,59.6,21.0,48.0,875.85,64.0,4351.0,29.0
66,107394.0,89551.0,107394.0,0.4,0.0,0.4,2.3,2.4,305.4,809.65,81.0,6466.0,22.0,89551.0,5.1,3.6,5.7,11.6,8.7,163.2,809.58,59.0,6450.0,29.0
67,107412.0,80287.0,107412.0,0.0,0.0,0.0,2.0,2.1,314.7,870.54,82.0,4525.0,27.0,80287.0,27.8,19.1,32.5,50.6,19.6,55.2,870.22,51.0,4525.0,42.0
68,109758.0,4553.0,109758.0,0.0,0.0,0.0,1.6,1.7,328.5,853.34,81.0,4922.0,28.0,4553.0,24.6,16.4,29.5,46.3,18.4,64.5,851.01,64.0,5116.0,34.0
69,110304.0,110302.0,110304.0,0.2,0.0,0.4,1.7,1.9,322.6,806.33,67.0,6525.0,30.0,110302.0,4.9,3.2,6.1,12.1,8.9,161.5,806.08,46.0,6605.0,45.0
70,114985.0,5460.0,114985.0,0.0,0.0,0.0,1.7,1.9,323.1,877.1,78.0,4299.0,26.0,5460.0,30.4,20.7,35.2,59.6,21.0,48.0,875.85,64.0,4351.0,29.0
71,116319.0,97391.0,116319.0,1.7,0.8,1.7,4.1,4.0,262.1,879.9,75.0,4227.0,27.0,97391.0,37.4,24.4,48.5,96.9,25.2,31.9,859.89,33.0,4254.0,37.0
72,117327.0,112252.0,117327.0,1.0,0.3,1.6,2.8,2.9,291.0,859.19,85.0,4851.0,26.0,112252.0,26.2,14.8,28.9,35.9,16.7,73.6,860.22,57.0,4850.0,39.0
73,117513.0,110090.0,117513.0,0.2,0.0,0.2,2.4,2.6,302.0,811.04,84.0,6383.0,9.0,110090.0,7.5,5.4,8.3,16.5,10.9,130.9,811.24,75.0,6383.0,15.0
74,117515.0,109530.0,117515.0,0.0,0.0,0.0,1.7,1.9,323.6,855.24,78.0,4961.0,20.0,109530.0,33.0,19.2,39.4,48.0,19.1,58.3,856.48,55.0,4987.0,42.0
75,117731.0,87209.0,117731.0,0.1,0.0,0.2,1.9,2.0,318.8,807.37,78.0,6497.0,17.0,87209.0,2.9,2.0,3.5,8.6,7.1,192.2,811.61,43.0,6402.0,52.0
76,117837.0,42097.0,117837.0,0.0,0.0,0.0,1.0,1.1,349.1,852.51,83.0,5084.0,16.0,42097.0,8.7,7.4,9.0,56.9,17.0,101.7,855.65,48.0,5178.0,49.0
77,118441.0,5460.0,118441.0,0.6,0.2,0.6,2.6,2.7,296.6,701.13,69.0,4426.0,45.0,5460.0,30.4,20.7,35.2,59.6,21.0,48.0,875.85,64.0,4351.0,29.0
78,119735.0,13241.0,119735.0,0.2,0.0,0.4,2.5,2.6,300.3,864.16,79.0,4691.0,20.0,13241.0,23.9,15.1,27.2,35.6,16.6,74.2,866.76,57.0,4659.0,38.0
