time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,weather_code,temperature_2m_max,temperature_2m_min,rain_sum,snowfall_sum,precipitation_hours,latitiude,longitude,elevation
2020-04-01,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-02,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-03,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-04,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-05,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-06,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-07,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-08,864,864,864,864,864,864,864,864,864,864,864,864
2020-04-09,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-10,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-11,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-12,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-13,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-14,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-15,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-16,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-17,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-18,306,306,306,306,306,306,306,306,306,306,306,306
2020-04-19,306,306,306,306,306,306,306,306,306,306,306,306
