,county,longitude,latitude,category
0,Davis County,-111.88080951152304,41.08032456289652,blue
1,Davis County,-111.88003663259194,41.04248386241919,blue
2,Davis County,-111.9563088264819,41.13919426676789,green
3,Davis County,-111.94339340147886,41.11547671683034,green
4,Davis County,-111.91575298025643,41.12877405887183,blue
5,Davis County,-111.88051464052988,41.12199390200524,blue
6,Davis County,-111.91835040288866,41.11064543370878,green
7,Davis County,-111.99924129032551,41.10697200673492,orange
8,Davis County,-111.98988703109396,41.12688800001554,orange
9,Davis County,-112.03003258025889,41.14996275953368,red
10,Davis County,-112.02967779151444,41.14339925293028,orange
11,Davis County,-112.03005197373186,41.13616547873,orange
12,Davis County,-112.02976233744846,41.128941780932685,orange
13,Davis County,-112.10292468090837,41.13923589738259,blue
14,Davis County,-112.07371760768277,41.146000686283834,blue
15,Davis County,-112.07413880321505,41.132613201630434,green
16,Davis County,-112.04046382260863,41.143558048462054,green
17,Davis County,-112.0548855823053,41.146183166182,green
18,Davis County,-112.04116113209479,41.149836364760986,orange
19,Davis County,-112.05485923972412,41.132614217050346,blue
20,Davis County,-112.04051553054215,41.13623823861052,green
21,Davis County,-112.04042044705442,41.12896098128972,green
22,Davis County,-112.07901643645114,41.10618098331292,green
23,Davis County,-112.22621685598469,41.112715027338645,blue
24,Davis County,-112.08378300708625,41.12172841759189,blue
25,Davis County,-112.05921966641998,41.084516863876026,green
26,Davis County,-112.05659777307659,41.074875056091585,green
27,Davis County,-112.22428192668133,40.96990494390837,green
28,Davis County,-112.0135828629093,41.08173189099474,green
29,Davis County,-112.01818435815343,41.071011125594346,green
30,Davis County,-112.0309575927703,41.08194384048899,green
31,Davis County,-112.03730646337168,41.0724741565598,blue
32,Davis County,-112.05490570746161,41.12171595943976,green
33,Davis County,-112.05651586729172,41.10966062106072,green
34,Davis County,-112.05008272618893,41.11449833572019,blue
35,Davis County,-112.02956251986389,41.12024359169663,red
36,Davis County,-112.03659865828863,41.11206116299464,green
37,Davis County,-112.03965563816425,41.121520549969105,green
38,Davis County,-112.05465629274693,41.092608178591085,green
39,Davis County,-112.05522928891953,41.09980202064598,green
40,Davis County,-112.03260740704619,41.09715906024685,red
41,Davis County,-112.01642847979556,41.09924861492656,red
42,Davis County,-112.0049769477435,41.09847100565179,green
43,Davis County,-112.00936647176036,41.106085772401606,orange
44,Davis County,-112.02064286546334,41.117789078160726,orange
45,Davis County,-112.01692066677286,41.11037830563785,orange
46,Davis County,-111.99126826849923,41.085247038211214,orange
47,Davis County,-111.99799990024113,41.08229876617819,orange
48,Davis County,-112.00264830985658,41.081574673682994,green
49,Davis County,-111.9899706296768,41.0774139991543,orange
50,Davis County,-111.92961920885831,41.09932250933222,blue
51,Davis County,-111.91733299889435,41.09558749368201,blue
52,Davis County,-111.92357736562231,41.09595408414096,green
53,Davis County,-111.9506645763638,41.09611822509208,blue
54,Davis County,-111.9793926651416,41.08348671105077,green
55,Davis County,-111.96671038706914,41.078319215849405,green
56,Davis County,-111.96587292502169,41.08545680199125,green
57,Davis County,-111.9666251933424,41.093032218251096,orange
58,Davis County,-111.96656659684086,41.10023406770774,orange
59,Davis County,-111.98005277523993,41.09859925567814,orange
60,Davis County,-111.9885209441186,41.09421766541806,red
61,Davis County,-111.99211188666956,41.10140951743964,green
62,Davis County,-111.93063666756923,41.07471647451552,blue
63,Davis County,-111.95398170564661,41.07071091455818,green
64,Davis County,-111.95233661790698,41.06333650279913,orange
65,Davis County,-111.93262413323544,41.06917605290973,blue
66,Davis County,-111.94831643638021,41.051898058951586,blue
67,Davis County,-111.92548309559496,41.06257186729911,blue
68,Davis County,-111.95248387041815,41.0567084025563,blue
69,Davis County,-111.94523734914586,41.083952884906196,blue
70,Davis County,-111.91898568006816,41.08646708002607,blue
71,Davis County,-111.9447769683926,41.076922601843464,green
72,Davis County,-111.9324992300852,41.079040160953646,blue
73,Davis County,-111.97489116540147,41.066639553514605,orange
74,Davis County,-111.96806020466377,41.07110933661735,green
