,OBJECTID,GEOID,county,Tract,Low,Lowmod,Lowmod_pct,category,geometry,longitude,latitude,County_encoded,category_encoded
59,199119,490111258081,Davis County,125808,800,1240,0.5221,orange,POINT (-111.98005277523993 41.09859925567814),-111.98005277523993,41.09859925567814,0,2
60,199120,490111258082,Davis County,125808,2075,2360,0.8295,red,POINT (-111.9885209441186 41.09421766541806),-111.9885209441186,41.09421766541806,0,3
61,199121,490111258083,Davis County,125808,50,195,0.3145,green,POINT (-111.99211188666956 41.10140951743964),-111.99211188666956,41.10140951743964,0,1
62,199122,490111259051,Davis County,125905,15,235,0.208,blue,POINT (-111.93063666756923 41.07471647451552),-111.93063666756923,41.07471647451552,0,0
63,199123,490111259052,Davis County,125905,125,300,0.3371,green,POINT (-111.95398170564661 41.07071091455818),-111.95398170564661,41.07071091455818,0,1
64,199124,490111259053,Davis County,125905,975,1305,0.6112,orange,POINT (-111.95233661790698 41.06333650279913),-111.95233661790698,41.06333650279913,0,2
65,199125,490111259054,Davis County,125905,265,325,0.1935,blue,POINT (-111.93262413323544 41.06917605290973),-111.93262413323544,41.06917605290973,0,0
66,199126,490111259061,Davis County,125906,325,815,0.244,blue,POINT (-111.94831643638021 41.051898058951586),-111.94831643638021,41.051898058951586,0,0
67,199127,490111259062,Davis County,125906,285,445,0.2236,blue,POINT (-111.92548309559496 41.06257186729911),-111.92548309559496,41.06257186729911,0,0
68,199128,490111259063,Davis County,125906,235,370,0.2327,blue,POINT (-111.95248387041815 41.0567084025563),-111.95248387041815,41.0567084025563,0,0
69,199129,490111259071,Davis County,125907,185,350,0.1754,blue,POINT (-111.94523734914586 41.083952884906196),-111.94523734914586,41.083952884906196,0,0
70,199130,490111259081,Davis County,125908,75,345,0.1494,blue,POINT (-111.91898568006816 41.08646708002607),-111.91898568006816,41.08646708002607,0,0
71,199131,490111259082,Davis County,125908,210,385,0.3291,green,POINT (-111.9447769683926 41.076922601843464),-111.9447769683926,41.076922601843464,0,1
72,199132,490111259083,Davis County,125908,10,75,0.0617,blue,POINT (-111.9324992300852 41.079040160953646),-111.9324992300852,41.079040160953646,0,0
73,199133,490111260011,Davis County,126001,465,905,0.6935,orange,POINT (-111.97489116540147 41.066639553514605),-111.97489116540147,41.066639553514605,0,2
74,199134,490111260012,Davis County,126001,215,600,0.4181,green,POINT (-111.96806020466377 41.07110933661735),-111.96806020466377,41.07110933661735,0,1
75,199135,490111260013,Davis County,126001,440,505,0.7769,red,POINT (-111.9606540959805 41.06356417323596),-111.9606540959805,41.06356417323596,0,3
76,199136,490111260014,Davis County,126001,125,450,0.2778,green,POINT (-111.9662695495162 41.05239008052927),-111.9662695495162,41.05239008052927,0,1
77,199137,490111260021,Davis County,126002,300,905,0.2345,blue,POINT (-111.996167813107 41.0549160367223),-111.996167813107,41.0549160367223,0,0
78,199138,490111260022,Davis County,126002,300,865,0.3634,green,POINT (-111.9824194114832 41.06285638466121),-111.9824194114832,41.06285638466121,0,1
79,199139,490111261011,Davis County,126101,535,1250,0.5631,orange,POINT (-111.94517263968824 41.04409977438034),-111.94517263968824,41.04409977438034,0,2
80,199140,490111261012,Davis County,126101,100,415,0.323,green,POINT (-111.93039371604407 41.048843006080666),-111.93039371604407,41.048843006080666,0,1
81,199141,490111261013,Davis County,126101,135,435,0.2522,green,POINT (-111.9201826625132 41.04349666882296),-111.9201826625132,41.04349666882296,0,1
82,199142,490111261014,Davis County,126101,25,90,0.1091,blue,POINT (-111.9177543525493 41.05355205543273),-111.9177543525493,41.05355205543273,0,0
83,199143,490111261041,Davis County,126104,320,320,0.0928,blue,POINT (-111.9630563341927 41.02690902181034),-111.9630563341927,41.02690902181034,0,0
84,199144,490111261042,Davis County,126104,620,1055,0.2411,blue,POINT (-111.9488351958258 41.02381661778245),-111.9488351958258,41.02381661778245,0,0
85,199145,490111261043,Davis County,126104,365,1440,0.3175,green,POINT (-111.98170898351329 41.01535235020497),-111.98170898351329,41.01535235020497,0,1
86,199146,490111261051,Davis County,126105,45,360,0.1562,blue,POINT (-111.928654042442 41.00879752764979),-111.928654042442,41.00879752764979,0,0
87,199147,490111261052,Davis County,126105,0,60,0.0396,blue,POINT (-111.92458605426786 41.01578521875162),-111.92458605426786,41.01578521875162,0,0
88,199148,490111261053,Davis County,126105,25,120,0.0704,blue,POINT (-111.93460238387617 41.02381854347967),-111.93460238387617,41.02381854347967,0,0
89,199149,490111261054,Davis County,126105,55,490,0.3427,green,POINT (-111.93693986129124 41.01888274413135),-111.93693986129124,41.01888274413135,0,1
90,199150,490111262021,Davis County,126202,540,1330,0.1487,blue,POINT (-111.95417665110878 40.95858850985029),-111.95417665110878,40.95858850985029,0,0
91,199151,490111262022,Davis County,126202,60,130,0.0844,blue,POINT (-111.91682111716437 41.00616676219038),-111.91682111716437,41.00616676219038,0,0
92,199152,490111262031,Davis County,126203,110,430,0.1792,blue,POINT (-111.89561697199021 40.99712963100907),-111.89561697199021,40.99712963100907,0,0
93,199153,490111262032,Davis County,126203,60,215,0.1072,blue,POINT (-111.90404268902851 41.01063184529716),-111.90404268902851,41.01063184529716,0,0
94,199154,490111262041,Davis County,126204,320,680,0.3009,green,POINT (-111.84445409488988 40.9948477135661),-111.84445409488988,40.9948477135661,0,1
95,199155,490111262042,Davis County,126204,265,405,0.5226,orange,POINT (-111.88502938517345 40.98713516360302),-111.88502938517345,40.98713516360302,0,2
96,199156,490111262043,Davis County,126204,55,475,0.2448,blue,POINT (-111.88877346518798 40.97360962011951),-111.88877346518798,40.97360962011951,0,0
97,199157,490111263031,Davis County,126303,50,405,0.1441,blue,POINT (-111.8545949777006 40.95108571884702),-111.8545949777006,40.95108571884702,0,0
98,199158,490111263032,Davis County,126303,70,440,0.2573,green,POINT (-111.87451259625328 40.93411366242547),-111.87451259625328,40.93411366242547,0,1
99,199159,490111263041,Davis County,126304,135,290,0.1547,blue,POINT (-111.90327822984666 40.93362368277421),-111.90327822984666,40.93362368277421,0,0
100,199160,490111263042,Davis County,126304,100,305,0.1309,blue,POINT (-111.88529750090181 40.93488742301472),-111.88529750090181,40.93488742301472,0,0
101,199161,490111263043,Davis County,126304,45,180,0.0984,blue,POINT (-111.88615170025864 40.946109351037265),-111.88615170025864,40.946109351037265,0,0
102,199162,490111263051,Davis County,126305,215,575,0.2411,blue,POINT (-111.83503210406033 40.92927830164309),-111.83503210406033,40.92927830164309,0,0
103,199163,490111263061,Davis County,126306,525,805,0.2706,green,POINT (-111.88190541773979 40.92526563646718),-111.88190541773979,40.92526563646718,0,1
104,199164,490111263062,Davis County,126306,590,1185,0.5243,orange,POINT (-111.88168027561461 40.917281585316054),-111.88168027561461,40.917281585316054,0,2
105,199165,490111263063,Davis County,126306,330,540,0.2483,blue,POINT (-111.88233352218269 40.909866037953364),-111.88233352218269,40.909866037953364,0,0
106,199166,490111264021,Davis County,126402,190,305,0.1848,blue,POINT (-111.81672682745273 40.90166815381463),-111.81672682745273,40.90166815381463,0,0
107,199167,490111264022,Davis County,126402,230,275,0.1455,blue,POINT (-111.80634994138758 40.86127657013235),-111.80634994138758,40.86127657013235,0,0
108,199168,490111264041,Davis County,126404,185,495,0.1032,blue,POINT (-111.87738931537837 40.83340951053204),-111.87738931537837,40.83340951053204,0,0
109,199169,490111264042,Davis County,126404,330,925,0.564,orange,POINT (-111.91027381894932 40.836171414205275),-111.91027381894932,40.836171414205275,0,2
110,199170,490111264051,Davis County,126405,35,230,0.1311,blue,POINT (-111.87655470926221 40.85114498301518),-111.87655470926221,40.85114498301518,0,0
111,199171,490111264052,Davis County,126405,75,110,0.0518,blue,POINT (-111.88753726686106 40.84408859282072),-111.88753726686106,40.84408859282072,0,0
112,199172,490111264061,Davis County,126406,140,515,0.2725,green,POINT (-111.89305559552061 40.849694747045305),-111.89305559552061,40.849694747045305,0,1
113,199173,490111264062,Davis County,126406,710,1370,0.5249,orange,POINT (-111.90190109206328 40.84919365417433),-111.90190109206328,40.84919365417433,0,2
114,199174,490111265001,Davis County,126500,315,360,0.3547,green,POINT (-111.85627544169611 40.89875326043623),-111.85627544169611,40.89875326043623,0,1
115,199175,490111265002,Davis County,126500,20,320,0.2909,green,POINT (-111.8676353277901 40.903172645399145),-111.8676353277901,40.903172645399145,0,1
116,199176,490111265003,Davis County,126500,85,155,0.2296,blue,POINT (-111.86781329481276 40.89703325342658),-111.86781329481276,40.89703325342658,0,0
117,199177,490111265004,Davis County,126500,185,490,0.2908,green,POINT (-111.86849670319104 40.889246401533434),-111.86849670319104,40.889246401533434,0,1
118,199178,490111265005,Davis County,126500,235,340,0.2118,blue,POINT (-111.85876467028741 40.88875358410842),-111.85876467028741,40.88875358410842,0,0
119,199179,490111266001,Davis County,126600,390,925,0.5,green,POINT (-111.88519643974581 40.90306901475765),-111.88519643974581,40.90306901475765,0,1
120,199180,490111266002,Davis County,126600,770,1255,0.5948,orange,POINT (-111.87571615122386 40.90014106724943),-111.87571615122386,40.90014106724943,0,2
121,199181,490111266003,Davis County,126600,275,435,0.4372,green,POINT (-111.88672377468727 40.896680347112365),-111.88672377468727,40.896680347112365,0,1
122,199182,490111267001,Davis County,126700,385,700,0.456,green,POINT (-111.88841278202429 40.891693064149024),-111.88841278202429,40.891693064149024,0,1
123,199183,490111267002,Davis County,126700,215,410,0.4121,green,POINT (-111.88869887788927 40.8868714873978),-111.88869887788927,40.8868714873978,0,1
124,199184,490111267003,Davis County,126700,180,415,0.4637,green,POINT (-111.87661932035121 40.891402899703074),-111.87661932035121,40.891402899703074,0,1
125,199185,490111267004,Davis County,126700,35,255,0.3806,green,POINT (-111.87650120026089 40.8867339459436),-111.87650120026089,40.8867339459436,0,1
126,199186,490111268011,Davis County,126801,145,290,0.2266,blue,POINT (-111.85598792393257 40.8777721969069),-111.85598792393257,40.8777721969069,0,0
127,199187,490111268012,Davis County,126801,25,165,0.1774,blue,POINT (-111.86636898014233 40.881443329368025),-111.86636898014233,40.881443329368025,0,0
128,199188,490111268013,Davis County,126801,175,350,0.3465,green,POINT (-111.86228749843768 40.87380434479719),-111.86228749843768,40.87380434479719,0,1
129,199189,490111268021,Davis County,126802,75,335,0.21,blue,POINT (-111.85667164825514 40.868162855645465),-111.85667164825514,40.868162855645465,0,0
130,199190,490111268022,Davis County,126802,85,155,0.1483,blue,POINT (-111.8673799793956 40.868472930312855),-111.8673799793956,40.868472930312855,0,0
131,199191,490111268023,Davis County,126802,310,615,0.328,green,POINT (-111.86415552914177 40.86061220788287),-111.86415552914177,40.86061220788287,0,1
132,199192,490111269011,Davis County,126901,160,390,0.4358,green,POINT (-111.87718695354195 40.88079622199165),-111.87718695354195,40.88079622199165,0,1
133,199193,490111269012,Davis County,126901,440,870,0.6237,orange,POINT (-111.87800735990038 40.876194544802374),-111.87800735990038,40.876194544802374,0,2
134,199194,490111269013,Davis County,126901,225,245,0.2882,green,POINT (-111.87961884855186 40.87287917752925),-111.87961884855186,40.87287917752925,0,1
135,199195,490111269014,Davis County,126901,395,965,0.8008,red,POINT (-111.88480361099236 40.878843100192725),-111.88480361099236,40.878843100192725,0,3
136,199196,490111269015,Davis County,126901,525,965,0.6186,orange,POINT (-111.88951900759135 40.87849833322196),-111.88951900759135,40.87849833322196,0,2
137,199197,490111269016,Davis County,126901,130,205,0.494,green,POINT (-111.89523836623519 40.872244121177715),-111.89523836623519,40.872244121177715,0,1
138,199198,490111269021,Davis County,126902,240,725,0.4833,green,POINT (-111.87565358470509 40.86471794120096),-111.87565358470509,40.86471794120096,0,1
139,199199,490111269022,Davis County,126902,175,335,0.33,green,POINT (-111.88221309963784 40.86716519572124),-111.88221309963784,40.86716519572124,0,1
140,199200,490111269023,Davis County,126902,870,1595,0.6206,orange,POINT (-111.89138586056131 40.86277934893596),-111.89138586056131,40.86277934893596,0,2
141,199201,490111269024,Davis County,126902,180,330,0.3317,green,POINT (-111.8820791292143 40.85815796816119),-111.8820791292143,40.85815796816119,0,1
142,199202,490111270021,Davis County,127002,1800,3650,0.5637,orange,POINT (-111.92899309595484 40.84331548995061),-111.92899309595484,40.84331548995061,0,2
143,199203,490111270022,Davis County,127002,500,695,0.5285,orange,POINT (-111.91054383888283 40.8469808497062),-111.91054383888283,40.8469808497062,0,2
144,199204,490111270031,Davis County,127003,165,455,0.1747,blue,POINT (-111.9022301682456 40.90062263834815),-111.9022301682456,40.90062263834815,0,0
145,199205,490111270032,Davis County,127003,285,795,0.1904,blue,POINT (-111.94100236165437 40.8856149512989),-111.94100236165437,40.8856149512989,0,0
146,199206,490111270041,Davis County,127004,445,1420,0.3646,green,POINT (-111.92090858966456 40.8729136103118),-111.92090858966456,40.8729136103118,0,1
147,199207,490111270042,Davis County,127004,150,595,0.2479,blue,POINT (-111.90695346689391 40.872964315305005),-111.90695346689391,40.872964315305005,0,0
148,199208,490111270043,Davis County,127004,130,505,0.5489,orange,POINT (-111.89930996448818 40.87953415875563),-111.89930996448818,40.87953415875563,0,2
149,199209,490111270044,Davis County,127004,140,260,0.3059,green,POINT (-111.89985652638968 40.86965435536147),-111.89985652638968,40.86965435536147,0,1
150,199210,490111271001,Davis County,127100,195,765,0.593,orange,POINT (-111.93056535766222 41.03420661505237),-111.93056535766222,41.03420661505237,0,2
151,199211,490111271002,Davis County,127100,290,910,0.5723,orange,POINT (-111.9424630718253 41.0327537068082),-111.9424630718253,41.0327537068082,0,2
152,199212,490111271003,Davis County,127100,505,605,0.5127,orange,POINT (-111.91485601237726 41.021266619480926),-111.91485601237726,41.021266619480926,0,2
153,199213,490111271004,Davis County,127100,70,255,0.1569,blue,POINT (-111.92178526274868 41.02825883683527),-111.92178526274868,41.02825883683527,0,0
154,199214,490111271005,Davis County,127100,115,305,0.1865,blue,POINT (-111.91561663047938 41.03619136718495),-111.91561663047938,41.03619136718495,0,0
155,199308,490351001001,Salt Lake County,100100,150,245,0.5632,orange,POINT (-111.91133897169387 40.79443754486153),-111.91133897169387,40.79443754486153,1,2
156,199309,490351001002,Salt Lake County,100100,565,650,0.5652,orange,POINT (-111.90495337371152 40.77587214115332),-111.90495337371152,40.77587214115332,1,2
157,199310,490351002001,Salt Lake County,100200,105,200,0.1544,blue,POINT (-111.87039696407619 40.81223141678727),-111.87039696407619,40.81223141678727,1,0
158,199311,490351003061,Salt Lake County,100306,1150,1415,0.8156,red,POINT (-111.94121998024825 40.77640394161475),-111.94121998024825,40.77640394161475,1,3
159,199312,490351003062,Salt Lake County,100306,625,860,0.5931,orange,POINT (-111.94527225456052 40.77215019038787),-111.94527225456052,40.77215019038787,1,2
160,199313,490351003063,Salt Lake County,100306,725,1255,0.6623,orange,POINT (-111.94435070833208 40.78248625368075),-111.94435070833208,40.78248625368075,1,2
161,199314,490351003071,Salt Lake County,100307,740,1275,0.6391,orange,POINT (-111.94540183816605 40.789128420144415),-111.94540183816605,40.789128420144415,1,2
162,199315,490351003072,Salt Lake County,100307,835,1280,0.6737,orange,POINT (-111.94447756819062 40.80181589424924),-111.94447756819062,40.80181589424924,1,2
163,199316,490351003073,Salt Lake County,100307,595,675,0.4982,green,POINT (-111.94650738219329 40.7981805718879),-111.94650738219329,40.7981805718879,1,1
164,199317,490351003081,Salt Lake County,100308,1130,1285,0.8107,red,POINT (-111.93800038520041 40.793973048380145),-111.93800038520041,40.793973048380145,1,3
165,199318,490351003082,Salt Lake County,100308,1300,1780,0.698,orange,POINT (-111.94052175217256 40.79751831044181),-111.94052175217256,40.79751831044181,1,2
166,199319,490351005001,Salt Lake County,100500,190,315,0.2972,green,POINT (-111.92116284002263 40.78887290186858),-111.92116284002263,40.78887290186858,1,1
167,199320,490351005002,Salt Lake County,100500,330,745,0.6107,orange,POINT (-111.92035468896233 40.7843554865751),-111.92035468896233,40.7843554865751,1,2
168,199321,490351005003,Salt Lake County,100500,730,960,0.7033,orange,POINT (-111.92764064252155 40.78673078925233),-111.92764064252155,40.78673078925233,1,2
169,199322,490351005004,Salt Lake County,100500,350,590,0.7613,red,POINT (-111.93293493528037 40.78688933010088),-111.93293493528037,40.78688933010088,1,3
170,199323,490351005005,Salt Lake County,100500,985,1400,0.9272,red,POINT (-111.91468237426872 40.786836969816164),-111.91468237426872,40.786836969816164,1,3
171,199324,490351006001,Salt Lake County,100600,1190,1310,0.5901,orange,POINT (-111.91421829420347 40.779139239624264),-111.91421829420347,40.779139239624264,1,2
172,199325,490351006002,Salt Lake County,100600,350,575,0.7278,orange,POINT (-111.92185401215312 40.779123986149834),-111.92185401215312,40.779123986149834,1,2
173,199326,490351006003,Salt Lake County,100600,1095,1205,0.4414,green,POINT (-111.9289869418011 40.77775362857344),-111.9289869418011,40.77775362857344,1,1
174,199327,490351006004,Salt Lake County,100600,655,845,0.8535,red,POINT (-111.93410002008322 40.77431948015673),-111.93410002008322,40.77431948015673,1,3
175,199328,490351006005,Salt Lake County,100600,725,1230,0.9077,red,POINT (-111.91497187894333 40.773707331938255),-111.91497187894333,40.773707331938255,1,3
176,199329,490351007001,Salt Lake County,100700,285,405,0.4629,green,POINT (-111.8971516407796 40.78557154186385),-111.8971516407796,40.78557154186385,1,1
177,199330,490351007002,Salt Lake County,100700,185,370,0.3663,green,POINT (-111.89059503051948 40.77834608677183),-111.89059503051948,40.77834608677183,1,1
178,199331,490351007003,Salt Lake County,100700,390,625,0.7764,red,POINT (-111.8975912494576 40.778965566066695),-111.8975912494576,40.778965566066695,1,3
179,199332,490351008001,Salt Lake County,100800,450,640,0.6337,orange,POINT (-111.8889430001427 40.77310051970323),-111.8889430001427,40.77310051970323,1,2
180,199333,490351008002,Salt Lake County,100800,170,365,0.6134,orange,POINT (-111.8926326148049 40.77279871763304),-111.8926326148049,40.77279871763304,1,2
181,199334,490351008003,Salt Lake County,100800,355,525,0.6604,orange,POINT (-111.89660929258821 40.77298577645193),-111.89660929258821,40.77298577645193,1,2
182,199335,490351010001,Salt Lake County,101000,150,305,0.3128,green,POINT (-111.8676681972694 40.780694044031485),-111.8676681972694,40.780694044031485,1,1
183,199336,490351010002,Salt Lake County,101000,450,720,0.3207,green,POINT (-111.87762012003482 40.7801138266217),-111.87762012003482,40.7801138266217,1,1
184,199337,490351011011,Salt Lake County,101101,215,450,0.5056,orange,POINT (-111.87531886753261 40.774543181891005),-111.87531886753261,40.774543181891005,1,2
185,199338,490351011012,Salt Lake County,101101,365,560,0.5545,orange,POINT (-111.8753194438434 40.771099680174814),-111.8753194438434,40.771099680174814,1,2
186,199339,490351011021,Salt Lake County,101102,225,705,0.4982,green,POINT (-111.88587444896302 40.77051913755165),-111.88587444896302,40.77051913755165,1,1
187,199340,490351011022,Salt Lake County,101102,580,750,0.5837,orange,POINT (-111.88288510553602 40.77511937315717),-111.88288510553602,40.77511937315717,1,2
188,199341,490351011023,Salt Lake County,101102,290,565,0.5947,orange,POINT (-111.88212643293349 40.771339322641055),-111.88212643293349,40.771339322641055,1,2
189,199342,490351012001,Salt Lake County,101200,120,265,0.2548,green,POINT (-111.85825439869993 40.775863511169135),-111.85825439869993,40.775863511169135,1,1
190,199343,490351012002,Salt Lake County,101200,340,475,0.5191,orange,POINT (-111.86108214129828 40.77166293973138),-111.86108214129828,40.77166293973138,1,2
