,datetime_pulled,sensor_index,latitude,longitude,pm10.0,scattering_coefficient,deciviews,visual_range,humidity,temperature,pressure,altitude,voc
48,2024-03-05 08:28:40.202408,13227,40.703102,-112.02363,3.5,6.9,6.0,213.1,45.0,39.0,870.45,4259.0,
49,2024-03-05 08:28:40.202408,13235,40.67518,-111.97574,4.3,7.5,6.4,205.7,52.0,40.0,864.6,4368.0,
50,2024-03-05 08:28:40.202408,13237,41.074944,-111.95793,0.6,3.1,3.2,283.6,29.0,58.0,862.1,4442.0,
51,2024-03-05 08:28:40.202408,13239,41.068417,-112.005936,4.8,8.2,6.8,200.1,42.0,38.0,867.24,4332.0,
52,2024-03-05 08:28:40.202408,13253,41.088875,-111.96451,2.1,4.2,4.1,260.1,42.0,38.0,861.01,4548.0,
53,2024-03-05 08:28:40.202408,13273,40.70729,-112.03398,5.6,8.8,7.2,189.7,68.0,40.0,869.67,4256.0,
54,2024-03-05 08:28:40.202408,13279,40.68914,-111.957115,6.3,9.7,7.6,182.3,,,,4264.0,
55,2024-03-05 08:28:40.202408,13283,41.07944,-111.90936,0.0,1.3,1.4,339.0,49.0,35.0,849.31,4843.0,
56,2024-03-05 08:28:40.202408,13307,40.63026,-111.893715,4.2,7.2,6.2,209.5,43.0,40.0,867.28,4355.0,
57,2024-03-05 08:28:40.202408,13311,40.606117,-111.90424,3.4,6.4,5.7,220.7,,,,4365.0,
58,2024-03-05 08:28:40.202408,13313,40.703976,-111.92974,4.1,7.5,6.4,205.5,46.0,39.0,870.69,4242.0,
59,2024-03-05 08:28:40.202408,15817,41.094536,-111.96916,3.7,7.7,6.5,203.3,71.0,35.0,858.45,4601.0,
60,2024-03-05 08:28:40.202408,15825,41.11333,-112.0264,2.5,5.7,5.2,231.7,42.0,38.0,861.0,4486.0,
61,2024-03-05 08:28:40.202408,15827,41.0294,-111.932014,2.8,6.5,5.8,219.1,60.0,38.0,865.39,4384.0,
62,2024-03-05 08:28:40.202408,15829,41.100193,-112.005104,0.8,3.0,3.1,285.8,34.0,43.0,867.09,4509.0,
63,2024-03-05 08:28:40.202408,15835,40.901443,-111.882866,0.0,1.2,1.4,340.4,50.0,41.0,867.48,4313.0,
64,2024-03-05 08:28:40.202408,15945,40.6657,-111.821106,0.6,2.3,2.4,306.6,46.0,40.0,863.38,4468.0,
65,2024-03-05 08:28:40.202408,16119,41.08101,-111.94043,0.4,2.8,2.9,293.2,43.0,37.0,857.59,4601.0,
66,2024-03-05 08:28:40.202408,17949,40.65524,-111.88562,2.6,5.9,5.2,234.5,50.0,38.0,868.12,4300.0,
67,2024-03-05 08:28:40.202408,18021,40.637936,-111.89346,3.4,7.5,6.4,205.0,60.0,38.0,866.32,4342.0,
68,2024-03-05 08:28:40.202408,18029,40.919155,-111.87821,0.1,2.5,2.6,302.6,47.0,37.0,867.44,4297.0,
69,2024-03-05 08:28:40.202408,18031,40.674072,-111.87904,0.0,,,,47.0,40.0,869.14,4293.0,
70,2024-03-05 08:28:40.202408,18069,40.674377,-112.00499,5.9,9.1,7.4,187.7,56.0,36.0,862.63,4464.0,
71,2024-03-05 08:28:40.202408,18115,40.61586,-111.85935,1.8,5.9,5.3,229.4,93.0,41.0,614.65,4518.0,
72,2024-03-05 08:28:40.202408,18169,40.672577,-111.90616,0.2,0.8,0.9,354.9,65.0,50.0,869.93,4251.0,
73,2024-03-05 08:28:40.202408,18191,40.65376,-111.87263,0.0,0.1,0.1,387.2,10.0,84.0,866.45,4324.0,
74,2024-03-05 08:28:40.202408,18237,40.67275,-111.88601,1.6,4.0,3.9,263.5,45.0,39.0,868.83,4280.0,
75,2024-03-05 08:28:40.202408,18249,40.696323,-111.97943,4.8,8.7,7.1,193.9,56.0,37.0,869.99,4268.0,
76,2024-03-05 08:28:40.202408,18251,40.618492,-111.90231,5.3,7.5,6.4,204.9,45.0,40.0,865.35,4366.0,
77,2024-03-05 08:28:40.202408,18259,40.638115,-111.92207,8.5,10.6,8.2,171.6,54.0,39.0,868.58,4275.0,
78,2024-03-05 08:28:40.202408,18319,40.686424,-112.01881,5.9,11.4,8.6,164.6,83.0,43.0,670.48,4393.0,
79,2024-03-05 08:28:40.202408,18321,40.62173,-111.87413,4.5,6.7,5.9,215.6,62.0,40.0,864.8,4429.0,
80,2024-03-05 08:28:40.202408,18341,40.975555,-111.89284,1.0,5.1,4.8,242.2,41.0,41.0,868.85,4271.0,
81,2024-03-05 08:28:40.202408,18375,40.656242,-111.91033,0.0,,,,53.0,37.0,868.41,4298.0,
82,2024-03-05 08:28:40.202408,18469,40.735943,-111.80772,0.8,3.0,3.0,288.0,49.0,35.0,839.08,5172.0,
83,2024-03-05 08:28:40.202408,20897,40.782787,-111.94669,2.0,4.7,4.5,249.0,,,,4224.0,
84,2024-03-05 08:28:40.202408,20957,40.64714,-111.91174,5.6,10.1,7.9,176.6,40.0,43.0,866.11,4322.0,
85,2024-03-05 08:28:40.202408,22647,40.57964,-111.80601,0.0,2.0,2.1,314.7,41.0,39.0,841.64,5149.0,
86,2024-03-05 08:28:40.202408,22955,40.741535,-111.818665,0.2,2.1,2.2,311.7,33.0,38.0,848.63,4870.0,
87,2024-03-05 08:28:40.202408,23587,40.709763,-111.8179,0.8,5.9,5.3,228.9,45.0,39.0,854.79,4691.0,
88,2024-03-05 08:28:40.202408,24441,41.02446,-111.932144,1.1,4.8,4.5,250.1,37.0,41.0,865.92,4376.0,
89,2024-03-05 08:28:40.202408,25309,40.9656,-111.89954,1.6,3.7,3.6,273.0,45.0,35.0,869.67,4239.0,
90,2024-03-05 08:28:40.202408,28675,40.77386,-111.858665,2.6,6.7,5.9,216.0,47.0,38.0,857.9,4613.0,
91,2024-03-05 08:28:40.202408,30855,40.682564,-111.97852,4.8,23.1,11.9,136.5,52.0,37.0,868.0,4336.0,
92,2024-03-05 08:28:40.202408,30887,40.942867,-111.89044,0.3,2.6,2.7,298.9,43.0,38.0,871.28,4225.0,
93,2024-03-05 08:28:40.202408,30917,40.908325,-111.8787,224.6,744.0,45.0,4.3,55.0,72.0,681.26,4294.0,
94,2024-03-05 08:28:40.202408,30943,40.63357,-111.88259,3.9,8.2,6.8,197.7,46.0,38.0,866.88,4375.0,
95,2024-03-05 08:28:40.202408,30953,40.939285,-111.8828,3.0,7.9,6.3,213.5,51.0,35.0,869.43,4279.0,
96,2024-03-05 08:28:40.202408,30955,40.61303,-111.895325,3.7,8.9,7.0,199.1,49.0,36.0,866.5,4390.0,
97,2024-03-05 08:28:40.202408,30967,41.0665,-111.912445,2.3,13.4,9.4,156.6,44.0,35.0,853.67,4774.0,
