,sensor_id,unix_timestamp,pm2.5_atm,pm10.0_atm,date
0,77,1498780800.0,1.457,1.691,2017-06-30
1,77,1501027200.0,3.864,4.168,2017-07-26
2,77,1506470400.0,3.867,4.195,2017-09-27
3,77,1498003200.0,3.873,4.274,2017-06-21
4,77,1485043200.0,1.945,2.158,2017-01-22
5,77,1499644800.0,6.378,6.906,2017-07-10
6,77,1504224000.0,9.791,10.564,2017-09-01
7,77,1488844800.0,0.329,0.467,2017-03-07
8,77,1503619200.0,3.558,3.943,2017-08-25
9,77,1502236800.0,12.84,14.414,2017-08-09
10,77,1493683200.0,0.986,1.185,2017-05-02
11,77,1507075200.0,1.317,1.576,2017-10-04
12,77,1508457600.0,4.223,5.06,2017-10-20
13,77,1505779200.0,3.338,3.768,2017-09-19
14,77,1514073600.0,3.595,3.844,2017-12-24
15,77,1499558400.0,7.736,8.229,2017-07-09
16,77,1510617600.0,10.92,12.204,2017-11-14
17,77,1500595200.0,3.687,4.037,2017-07-21
18,77,1491782400.0,2.289,2.624,2017-04-10
19,77,1499299200.0,7.985,8.485,2017-07-06
20,77,1499385600.0,9.628,10.202,2017-07-07
21,77,1512864000.0,25.891,31.382,2017-12-10
22,77,1489622400.0,1.057,1.388,2017-03-16
23,77,1491868800.0,9.849,11.067,2017-04-11
24,77,1503964800.0,11.288,12.522,2017-08-29
25,77,1484438400.0,36.455,44.411,2017-01-15
26,77,1493078400.0,0.723,0.803,2017-04-25
27,77,1505260800.0,3.045,3.539,2017-09-13
28,77,1491609600.0,1.205,1.424,2017-04-08
29,77,1511481600.0,1.428,1.538,2017-11-24
30,77,1503792000.0,5.958,6.564,2017-08-27
31,77,1513468800.0,10.731,11.828,2017-12-17
32,77,1497312000.0,0.42,0.499,2017-06-13
33,77,1487030400.0,23.026,26.073,2017-02-14
34,77,1492992000.0,1.17,1.388,2017-04-24
35,77,1505865600.0,1.454,1.661,2017-09-20
36,77,1514160000.0,31.11,35.668,2017-12-25
37,77,1486166400.0,1.009,1.2,2017-02-04
38,77,1509926400.0,3.95,4.312,2017-11-06
39,77,1492387200.0,1.191,1.475,2017-04-17
40,77,1487980800.0,1.184,1.403,2017-02-25
41,77,1511049600.0,5.09,5.51,2017-11-19
42,77,1490745600.0,2.171,2.424,2017-03-29
43,77,1509840000.0,5.312,5.789,2017-11-05
44,77,1492732800.0,2.879,3.234,2017-04-21
45,77,1493856000.0,3.075,3.449,2017-05-04
46,77,1506556800.0,3.662,3.958,2017-09-28
47,77,1497398400.0,2.709,2.955,2017-06-14
48,77,1510790400.0,5.054,6.068,2017-11-16
49,77,1513382400.0,36.009,45.08,2017-12-16
50,77,1499472000.0,10.823,11.417,2017-07-08
51,77,1495929600.0,1.302,1.439,2017-05-28
52,77,1490227200.0,2.582,2.896,2017-03-23
53,77,1488326400.0,3.309,3.691,2017-03-01
54,77,1494720000.0,1.555,1.824,2017-05-14
55,77,1505952000.0,1.764,2.022,2017-09-21
56,77,1511136000.0,15.818,17.581,2017-11-20
57,77,1486339200.0,0.901,1.096,2017-02-06
58,77,1506988800.0,1.682,1.873,2017-10-03
59,77,1512345600.0,3.618,3.898,2017-12-04
60,77,1489708800.0,2.595,2.96,2017-03-17
61,77,1489795200.0,1.915,2.223,2017-03-18
62,77,1508889600.0,4.336,4.837,2017-10-25
63,77,1509494400.0,4.179,4.718,2017-11-01
64,77,1490054400.0,2.098,2.479,2017-03-21
65,77,1490918400.0,2.833,3.136,2017-03-31
66,77,1485216000.0,1.976,2.156,2017-01-24
67,77,1495238400.0,1.271,1.446,2017-05-20
68,77,1493424000.0,1.024,1.159,2017-04-29
69,77,1505001600.0,9.099,10.188,2017-09-10
70,77,1513728000.0,5.398,6.723,2017-12-20
71,77,1505174400.0,4.844,5.405,2017-09-12
72,77,1484179200.0,20.825,24.241,2017-01-12
73,77,1502582400.0,2.041,2.365,2017-08-13
74,77,1485561600.0,21.493,24.95,2017-01-28
75,77,1496361600.0,2.46,2.794,2017-06-02
76,77,1485907200.0,47.74,63.434,2017-02-01
77,77,1494547200.0,1.764,2.114,2017-05-12
78,77,1509148800.0,3.389,3.789,2017-10-28
79,77,1498262400.0,1.045,1.254,2017-06-24
80,77,1508976000.0,6.616,7.422,2017-10-26
81,77,1514419200.0,9.466,10.85,2017-12-28
82,77,1497830400.0,0.449,0.533,2017-06-19
83,77,1504310400.0,20.733,22.732,2017-09-02
