,sensor_id,unix_timestamp,pm2.5_atm,pm10.0_atm,date
0,77,1649548800.0,11.671,11.869,2022-04-10
1,77,1649635200.0,12.247,12.618,2022-04-11
2,77,1663545600.0,10.349,10.462,2022-09-19
3,77,1671408000.0,42.363,46.922,2022-12-19
4,77,1668816000.0,31.881,32.971,2022-11-19
5,77,1648512000.0,11.056,11.492,2022-03-29
6,77,1668124800.0,24.846,25.127,2022-11-11
7,77,1656460800.0,10.081,10.344,2022-06-29
8,77,1659312000.0,14.695,15.119,2022-08-01
9,77,1668038400.0,20.825,21.031,2022-11-10
10,77,1654041600.0,12.46,12.575,2022-06-01
11,77,1666742400.0,19.469,19.802,2022-10-26
12,77,1645833600.0,23.497,23.999,2022-02-26
13,77,1668643200.0,31.197,32.434,2022-11-17
14,77,1652054400.0,13.356,13.643,2022-05-09
15,77,1658188800.0,11.114,11.472,2022-07-19
16,77,1665446400.0,19.006,19.708,2022-10-11
17,77,1651276800.0,14.523,14.947,2022-04-30
18,77,1649203200.0,11.744,11.89,2022-04-06
19,77,1665705600.0,15.908,16.316,2022-10-14
20,77,1672358400.0,20.727,20.896,2022-12-30
21,77,1651190400.0,13.94,14.448,2022-04-29
22,77,1655251200.0,16.921,17.79,2022-06-15
23,77,1670716800.0,17.766,17.916,2022-12-11
24,77,1654732800.0,10.875,11.146,2022-06-09
25,77,1670371200.0,41.983,48.422,2022-12-07
26,77,1654300800.0,9.716,9.86,2022-06-04
27,77,1669680000.0,25.783,26.659,2022-11-29
28,77,1658534400.0,10.247,10.442,2022-07-23
29,77,1659571200.0,16.298,16.985,2022-08-04
30,77,1665100800.0,14.283,14.529,2022-10-07
31,77,1647302400.0,13.513,13.856,2022-03-15
32,77,1672185600.0,21.2,21.695,2022-12-28
33,77,1665792000.0,14.423,14.653,2022-10-15
34,77,1671321600.0,36.208,38.789,2022-12-18
35,77,1657324800.0,11.864,12.317,2022-07-09
36,77,1660521600.0,11.525,11.678,2022-08-15
37,77,1652832000.0,10.252,10.444,2022-05-18
38,77,1667606400.0,18.616,18.76,2022-11-05
39,77,1662508800.0,14.782,15.236,2022-09-07
40,77,1670889600.0,24.927,25.465,2022-12-13
41,77,1657929600.0,12.051,12.243,2022-07-16
42,77,1658966400.0,14.618,15.001,2022-07-28
43,77,1663286400.0,13.32,13.614,2022-09-16
44,77,1660953600.0,13.002,13.276,2022-08-20
45,77,1650153600.0,11.656,11.95,2022-04-17
46,77,1664928000.0,14.568,14.831,2022-10-05
47,77,1668556800.0,26.755,27.344,2022-11-16
48,77,1647388800.0,13.887,14.285,2022-03-16
49,77,1660176000.0,10.683,10.901,2022-08-11
50,77,1668988800.0,37.813,43.078,2022-11-21
51,77,1655596800.0,12.484,13.707,2022-06-19
52,77,1664668800.0,14.257,14.538,2022-10-02
53,77,1653004800.0,11.948,12.196,2022-05-20
54,77,1656547200.0,11.309,11.59,2022-06-30
55,77,1671148800.0,37.878,39.788,2022-12-16
56,77,1663113600.0,13.743,14.035,2022-09-14
57,77,1651104000.0,13.921,14.592,2022-04-28
58,77,1650844800.0,12.664,12.824,2022-04-25
59,77,1649894400.0,14.117,14.405,2022-04-14
60,77,1653696000.0,11.189,11.56,2022-05-28
61,77,1654214400.0,10.182,10.326,2022-06-03
62,77,1664755200.0,14.051,14.289,2022-10-03
63,77,1671753600.0,35.909,38.66,2022-12-23
64,77,1647561600.0,13.762,14.091,2022-03-18
65,77,1666569600.0,23.367,23.908,2022-10-24
66,77,1661558400.0,11.154,11.323,2022-08-27
67,77,1656633600.0,10.557,10.75,2022-07-01
68,77,1659916800.0,16.05,16.572,2022-08-08
69,77,1652572800.0,9.698,9.86,2022-05-15
70,77,1646265600.0,13.251,13.796,2022-03-03
71,77,1664582400.0,13.486,13.715,2022-10-01
72,77,1655078400.0,10.476,10.946,2022-06-13
73,77,1649980800.0,11.791,11.99,2022-04-15
74,77,1654473600.0,9.754,9.919,2022-06-06
75,77,1661126400.0,13.158,13.455,2022-08-22
76,77,1644969600.0,16.733,17.039,2022-02-16
77,77,1669507200.0,36.672,42.569,2022-11-27
78,77,1660867200.0,11.294,11.549,2022-08-19
79,77,1654819200.0,10.613,10.902,2022-06-10
80,77,1662163200.0,11.965,12.2,2022-09-03
81,77,1672444800.0,18.461,18.527,2022-12-31
82,77,1647907200.0,13.663,13.972,2022-03-22
83,77,1662768000.0,45.173,54.131,2022-09-10
84,77,1661817600.0,14.355,14.821,2022-08-30
85,77,1664150400.0,14.199,14.641,2022-09-26
86,77,1646438400.0,14.204,14.513,2022-03-05
87,77,1666224000.0,14.877,15.159,2022-10-20
88,77,1659484800.0,20.612,21.632,2022-08-03
89,77,1656979200.0,9.13,9.31,2022-07-05
90,77,1659052800.0,13.382,13.705,2022-07-29
91,77,1652486400.0,10.525,10.703,2022-05-14
92,77,1646784000.0,19.595,20.255,2022-03-09
93,77,1648425600.0,8.4,8.605,2022-03-28
94,77,1663459200.0,16.128,16.731,2022-09-18
95,77,1668211200.0,29.426,30.284,2022-11-12
96,77,1653436800.0,12.49,12.806,2022-05-25
97,77,1654646400.0,10.47,10.68,2022-06-08
98,77,1663804800.0,12.632,12.877,2022-09-22
99,77,1660348800.0,11.45,11.646,2022-08-13
100,77,1672012800.0,37.478,43.875,2022-12-26
101,77,1669248000.0,26.586,27.415,2022-11-24
102,77,1650326400.0,11.87,12.942,2022-04-19
103,77,1657411200.0,20.815,22.187,2022-07-10
104,77,1646611200.0,20.843,21.434,2022-03-07
105,77,1650672000.0,15.985,16.322,2022-04-23
106,77,1647993600.0,12.984,13.253,2022-03-23
107,77,1649721600.0,13.989,14.167,2022-04-12
108,77,1661731200.0,17.949,18.692,2022-08-29
109,77,1651708800.0,14.265,14.561,2022-05-05
110,77,1667865600.0,19.096,19.511,2022-11-08
111,77,1669852800.0,19.623,19.852,2022-12-01
112,77,1647216000.0,13.423,13.689,2022-03-14
113,77,1653264000.0,11.794,11.947,2022-05-23
114,77,1657497600.0,15.085,15.51,2022-07-11
115,77,1663977600.0,14.43,14.749,2022-09-24
116,77,1656892800.0,8.969,9.235,2022-07-04
117,77,1647475200.0,12.098,12.328,2022-03-17
118,77,1649376000.0,12.783,13.16,2022-04-08
119,77,1654128000.0,11.646,11.803,2022-06-02
120,77,1665273600.0,14.438,14.691,2022-10-09
121,77,1671840000.0,53.99,65.772,2022-12-24
122,77,1668384000.0,31.599,32.794,2022-11-14
123,77,1661644800.0,12.424,12.714,2022-08-28
124,77,1653955200.0,12.592,12.667,2022-05-31
125,77,1650240000.0,12.815,13.343,2022-04-18
126,77,1660089600.0,12.969,13.289,2022-08-10
127,77,1666828800.0,21.9,22.287,2022-10-27
128,77,1657065600.0,9.017,9.162,2022-07-06
129,77,1655424000.0,11.304,11.826,2022-06-17
130,77,1669593600.0,19.717,19.898,2022-11-28
131,77,1663718400.0,12.016,12.185,2022-09-21
132,77,1645228800.0,13.352,13.552,2022-02-19
133,77,1656374400.0,11.624,11.854,2022-06-28
134,77,1665619200.0,17.956,18.52,2022-10-13
135,77,1648944000.0,11.416,11.734,2022-04-03
136,77,1662940800.0,35.312,42.888,2022-09-12
137,77,1648684800.0,12.394,12.627,2022-03-31
138,77,1665360000.0,14.814,15.111,2022-10-10
139,77,1658016000.0,11.408,11.568,2022-07-17
140,77,1646956800.0,17.626,17.824,2022-03-11
141,77,1670025600.0,28.713,29.238,2022-12-03
142,77,1664064000.0,14.021,14.313,2022-09-25
143,77,1656028800.0,11.161,11.73,2022-06-24
144,77,1654560000.0,10.561,10.775,2022-06-07
145,77,1647648000.0,12.08,12.397,2022-03-19
146,77,1656115200.0,9.956,10.108,2022-06-25
147,77,1662249600.0,12.182,12.415,2022-09-04
148,77,1651881600.0,12.679,14.049,2022-05-07
149,77,1651536000.0,11.797,12.035,2022-05-03
150,77,1657584000.0,13.609,13.962,2022-07-12
151,77,1647820800.0,14.119,14.425,2022-03-21
152,77,1656201600.0,10.516,10.67,2022-06-26
153,77,1660780800.0,13.112,13.336,2022-08-18
154,77,1670544000.0,26.973,27.914,2022-12-09
155,77,1667692800.0,18.042,18.17,2022-11-06
156,77,1656720000.0,9.369,9.513,2022-07-02
157,77,1665187200.0,14.503,14.756,2022-10-08
158,77,1652659200.0,9.35,9.53,2022-05-16
159,77,1660003200.0,14.734,15.119,2022-08-09
160,77,1651968000.0,12.439,12.88,2022-05-08
161,77,1659225600.0,15.167,15.588,2022-07-31
162,77,1660262400.0,10.927,11.106,2022-08-12
163,77,1647129600.0,11.842,12.009,2022-03-13
164,77,1668470400.0,29.087,29.89,2022-11-15
165,77,1648166400.0,9.572,9.823,2022-03-25
166,77,1663200000.0,15.026,15.47,2022-09-15
167,77,1648771200.0,12.551,12.767,2022-04-01
168,77,1651363200.0,12.643,12.978,2022-05-01
169,77,1667433600.0,24.406,25.165,2022-11-03
170,77,1671494400.0,34.737,37.398,2022-12-20
171,77,1656806400.0,8.766,8.951,2022-07-03
172,77,1650585600.0,14.345,15.356,2022-04-22
173,77,1653523200.0,9.949,10.121,2022-05-26
174,77,1653609600.0,10.891,11.33,2022-05-27
175,77,1668297600.0,32.188,33.524,2022-11-13
176,77,1652745600.0,9.167,9.337,2022-05-17
177,77,1645920000.0,27.302,28.466,2022-02-27
178,77,1670630400.0,22.039,22.323,2022-12-10
179,77,1651795200.0,10.475,10.946,2022-05-06
180,77,1656288000.0,13.249,13.544,2022-06-27
181,77,1666656000.0,19.963,20.29,2022-10-25
182,77,1664496000.0,14.537,14.878,2022-09-30
183,77,1666915200.0,25.713,26.469,2022-10-28
184,77,1659830400.0,13.093,13.362,2022-08-07
185,77,1649462400.0,10.277,10.727,2022-04-09
186,77,1652918400.0,10.444,10.72,2022-05-19
187,77,1663027200.0,18.702,20.336,2022-09-13
188,77,1667347200.0,16.899,17.119,2022-11-02
189,77,1658102400.0,11.513,12.088,2022-07-18
190,77,1650499200.0,11.471,12.359,2022-04-21
191,77,1651622400.0,14.901,15.173,2022-05-04
192,77,1654387200.0,9.734,9.936,2022-06-05
193,77,1666051200.0,13.907,14.137,2022-10-18
194,77,1649116800.0,11.277,11.568,2022-04-05
195,77,1651449600.0,14.18,14.538,2022-05-02
196,77,1654992000.0,10.064,10.482,2022-06-12
197,77,1661904000.0,11.4,11.657,2022-08-31
198,77,1655683200.0,11.318,11.502,2022-06-20
199,77,1669161600.0,33.373,36.781,2022-11-23
200,77,1645747200.0,20.409,20.835,2022-02-25
201,77,1668902400.0,37.666,41.21,2022-11-20
202,77,1661040000.0,11.546,11.736,2022-08-21
203,77,1670284800.0,34.396,37.567,2022-12-06
204,77,1655942400.0,12.167,12.551,2022-06-23
205,77,1662681600.0,29.693,34.317,2022-09-09
206,77,1648080000.0,11.288,11.497,2022-03-24
207,77,1655510400.0,11.736,12.731,2022-06-18
208,77,1669334400.0,29.806,31.115,2022-11-25
209,77,1667088000.0,26.76,28.333,2022-10-30
210,77,1671062400.0,29.034,29.817,2022-12-15
211,77,1650412800.0,11.366,11.542,2022-04-20
212,77,1647043200.0,14.368,14.581,2022-03-12
213,77,1658793600.0,16.0,16.631,2022-07-26
214,77,1659657600.0,15.431,16.017,2022-08-05
215,77,1658707200.0,12.975,13.27,2022-07-25
216,77,1663891200.0,13.563,13.761,2022-09-23
217,77,1660435200.0,10.358,10.477,2022-08-14
218,77,1661472000.0,11.546,11.749,2022-08-26
219,77,1663372800.0,22.929,24.19,2022-09-17
220,77,1666137600.0,14.933,15.234,2022-10-19
221,77,1647734400.0,11.649,11.961,2022-03-20
222,77,1655337600.0,12.455,12.913,2022-06-16
223,77,1667520000.0,23.796,24.154,2022-11-04
224,77,1655164800.0,13.738,14.167,2022-06-14
225,77,1652400000.0,11.87,12.03,2022-05-13
226,77,1649808000.0,14.568,14.747,2022-04-13
227,77,1670112000.0,38.05,41.517,2022-12-04
228,77,1668729600.0,30.429,31.67,2022-11-18
229,77,1671667200.0,24.05,24.345,2022-12-22
230,77,1646352000.0,10.808,10.998,2022-03-04
231,77,1669075200.0,37.712,43.41,2022-11-22
232,77,1664841600.0,15.171,16.314,2022-10-04
233,77,1645660800.0,28.62,29.913,2022-02-24
234,77,1658275200.0,11.421,11.865,2022-07-20
235,77,1646092800.0,22.338,23.764,2022-03-01
236,77,1662422400.0,12.982,13.306,2022-09-06
237,77,1649289600.0,13.272,13.553,2022-04-07
238,77,1657756800.0,10.276,10.451,2022-07-14
239,77,1665878400.0,15.789,16.24,2022-10-16
240,77,1670803200.0,20.875,21.035,2022-12-12
241,77,1671235200.0,41.896,43.992,2022-12-17
242,77,1649030400.0,11.702,12.1,2022-04-04
243,77,1666310400.0,14.689,14.946,2022-10-21
244,77,1667779200.0,15.612,15.745,2022-11-07
245,77,1667952000.0,18.941,19.195,2022-11-09
246,77,1670198400.0,27.261,28.86,2022-12-05
247,77,1655769600.0,10.603,10.718,2022-06-21
248,77,1645574400.0,23.682,24.167,2022-02-23
249,77,1658361600.0,10.761,11.025,2022-07-21
250,77,1645401600.0,13.219,13.484,2022-02-21
251,77,1669766400.0,23.908,24.124,2022-11-30
252,77,1669939200.0,20.739,21.052,2022-12-02
253,77,1662076800.0,14.003,14.407,2022-09-02
254,77,1672272000.0,21.445,21.579,2022-12-29
255,77,1646870400.0,17.207,17.414,2022-03-10
256,77,1664323200.0,11.91,12.067,2022-09-28
257,77,1665014400.0,13.965,14.186,2022-10-06
258,77,1660608000.0,10.969,11.114,2022-08-16
259,77,1663632000.0,11.332,11.537,2022-09-20
260,77,1653782400.0,11.641,11.798,2022-05-29
261,77,1657843200.0,10.629,10.89,2022-07-15
262,77,1645142400.0,16.204,16.525,2022-02-18
263,77,1666483200.0,20.571,20.843,2022-10-23
264,77,1650758400.0,13.703,13.912,2022-04-24
265,77,1661299200.0,13.933,14.335,2022-08-24
266,77,1661990400.0,10.795,11.019,2022-09-01
267,77,1653350400.0,11.939,12.095,2022-05-24
268,77,1662854400.0,41.369,51.658,2022-09-11
269,77,1650931200.0,13.495,13.982,2022-04-26
270,77,1662595200.0,13.892,14.28,2022-09-08
271,77,1648252800.0,8.727,9.027,2022-03-26
272,77,1670457600.0,42.523,50.765,2022-12-08
273,77,1645488000.0,17.381,17.683,2022-02-22
274,77,1653868800.0,12.043,12.09,2022-05-30
275,77,1657152000.0,8.919,9.08,2022-07-07
276,77,1652227200.0,12.154,12.436,2022-05-11
277,77,1646524800.0,16.837,17.217,2022-03-06
