,sensor_id,unix_timestamp,pm2.5_atm,pm10.0_atm,date
0,77,1614211200.0,8.331,8.454,2021-02-25
1,77,1611446400.0,22.417,24.365,2021-01-24
2,77,1635206400.0,10.252,10.367,2021-10-26
3,77,1619395200.0,8.891,9.237,2021-04-26
4,77,1623456000.0,7.634,7.906,2021-06-12
5,77,1618012800.0,5.857,6.019,2021-04-10
6,77,1632355200.0,10.26,10.678,2021-09-23
7,77,1621468800.0,6.825,7.29,2021-05-20
8,77,1618704000.0,8.162,8.439,2021-04-18
9,77,1625616000.0,11.719,12.178,2021-07-07
10,77,1630713600.0,38.631,48.439,2021-09-04
11,77,1610150400.0,29.704,33.476,2021-01-09
12,77,1612915200.0,8.074,8.326,2021-02-10
13,77,1633478400.0,8.977,9.216,2021-10-06
14,77,1620172800.0,6.216,6.438,2021-05-05
15,77,1633824000.0,16.893,18.029,2021-10-10
16,77,1631491200.0,9.201,9.523,2021-09-13
17,77,1628985600.0,46.681,56.728,2021-08-15
18,77,1613865600.0,6.935,7.016,2021-02-21
19,77,1624147200.0,8.769,9.091,2021-06-20
20,77,1611619200.0,16.29,17.264,2021-01-26
21,77,1620000000.0,6.053,6.187,2021-05-03
22,77,1612310400.0,8.198,8.544,2021-02-03
23,77,1617235200.0,10.945,11.511,2021-04-01
24,77,1619740800.0,6.669,6.915,2021-04-30
25,77,1626825600.0,9.953,10.383,2021-07-21
26,77,1632268800.0,8.207,8.402,2021-09-22
27,77,1614643200.0,11.959,12.521,2021-03-02
28,77,1627257600.0,41.814,52.122,2021-07-26
29,77,1627948800.0,14.519,15.697,2021-08-03
30,77,1628035200.0,34.16,41.836,2021-08-04
31,77,1612828800.0,7.977,8.312,2021-02-09
32,77,1625011200.0,6.385,6.514,2021-06-30
33,77,1617753600.0,7.533,7.787,2021-04-07
34,77,1635120000.0,8.012,8.172,2021-10-25
35,77,1635033600.0,13.048,13.441,2021-10-24
36,77,1630368000.0,26.375,30.712,2021-08-31
37,77,1620950400.0,5.913,6.168,2021-05-14
38,77,1626393600.0,14.775,15.814,2021-07-16
39,77,1609804800.0,10.885,11.54,2021-01-05
