,datetime_pulled,sensor_index,latitude,longitude,pm10.0,scattering_coefficient,deciviews,visual_range,humidity,temperature,pressure,altitude,voc
48,2024-02-29 20:22:06.151755,13227,40.703102,-112.02363,0.9,3.4,3.4,276.5,17.0,62.0,864.31,4259.0,
49,2024-02-29 20:22:06.151755,13235,40.67518,-111.97574,1.4,3.3,3.3,279.0,20.0,63.0,858.78,4368.0,
50,2024-02-29 20:22:06.151755,13237,41.074944,-111.95793,3.4,8.9,7.3,188.6,18.0,76.0,855.54,4442.0,
51,2024-02-29 20:22:06.151755,13239,41.068417,-112.005936,0.3,2.3,2.4,306.3,25.0,61.0,860.8,4332.0,
52,2024-02-29 20:22:06.151755,13253,41.088875,-111.96451,0.9,2.5,2.6,299.9,22.0,60.0,854.52,4548.0,
53,2024-02-29 20:22:06.151755,13273,40.70729,-112.03398,1.1,3.2,3.2,282.7,21.0,63.0,863.46,4256.0,
54,2024-02-29 20:22:06.151755,13279,40.68914,-111.957115,1.6,3.7,3.7,269.3,,,,4264.0,
55,2024-02-29 20:22:06.151755,13283,41.07944,-111.90936,0.7,2.7,2.8,295.6,24.0,60.0,843.78,4843.0,
56,2024-02-29 20:22:06.151755,13307,40.63026,-111.893715,1.1,3.3,3.3,279.5,18.0,62.0,861.12,4355.0,
57,2024-02-29 20:22:06.151755,13311,40.606117,-111.90424,0.5,2.9,3.0,290.2,,,,4365.0,
58,2024-02-29 20:22:06.151755,13313,40.703976,-111.92974,0.3,1.5,1.6,331.0,18.0,63.0,863.95,4242.0,
59,2024-02-29 20:22:06.151755,15817,41.094536,-111.96916,1.5,3.9,3.8,266.1,29.0,59.0,852.39,4601.0,
60,2024-02-29 20:22:06.151755,15825,41.11333,-112.0264,2.6,6.2,5.6,223.6,25.0,61.0,854.47,4486.0,
61,2024-02-29 20:22:06.151755,15827,41.0294,-111.932014,7.2,27.1,11.7,160.9,25.0,63.0,858.78,4384.0,
62,2024-02-29 20:22:06.151755,15829,41.100193,-112.005104,0.8,3.0,3.1,285.8,34.0,43.0,867.09,4509.0,
63,2024-02-29 20:22:06.151755,15835,40.901443,-111.882866,2.3,4.4,4.2,255.0,21.0,65.0,861.33,4313.0,
64,2024-02-29 20:22:06.151755,15945,40.6657,-111.821106,1.0,2.6,2.7,297.7,18.0,66.0,856.76,4468.0,
65,2024-02-29 20:22:06.151755,16119,41.08101,-111.94043,2.9,4.1,4.0,262.5,22.0,63.0,851.95,4601.0,
66,2024-02-29 20:22:06.151755,17949,40.65524,-111.88562,1.3,3.6,3.5,276.1,21.0,61.0,861.69,4300.0,
67,2024-02-29 20:22:06.151755,18021,40.637936,-111.89346,0.8,3.2,3.2,283.2,22.0,62.0,859.98,4342.0,
68,2024-02-29 20:22:06.151755,18029,40.919155,-111.87821,2.0,5.5,5.0,236.8,80.0,73.0,796.01,4297.0,
69,2024-02-29 20:22:06.151755,18031,40.674072,-111.87904,0.0,,,,20.0,63.0,862.52,4293.0,
70,2024-02-29 20:22:06.151755,18069,40.674377,-112.00499,1.6,4.1,4.0,263.2,23.0,60.0,856.68,4464.0,
71,2024-02-29 20:22:06.151755,18115,40.61586,-111.85935,1.6,3.3,3.3,280.1,26.0,64.0,628.04,4518.0,
72,2024-02-29 20:22:06.151755,18169,40.672577,-111.90616,0.2,0.1,0.2,383.8,20.0,70.0,863.24,4251.0,
73,2024-02-29 20:22:06.151755,18191,40.65376,-111.87263,0.0,0.3,0.4,376.4,2.0,104.0,860.32,4324.0,
74,2024-02-29 20:22:06.151755,18237,40.67275,-111.88601,1.4,2.7,2.8,294.5,19.0,63.0,862.2,4280.0,
75,2024-02-29 20:22:06.151755,18249,40.696323,-111.97943,1.0,3.3,3.3,280.8,20.0,61.0,863.31,4268.0,
76,2024-02-29 20:22:06.151755,18251,40.618492,-111.90231,1.1,3.0,3.1,286.4,20.0,61.0,859.23,4366.0,
77,2024-02-29 20:22:06.151755,18259,40.638115,-111.92207,1.4,7.0,6.1,211.5,23.0,60.0,862.35,4275.0,
78,2024-02-29 20:22:06.151755,18319,40.686424,-112.01881,0.0,,,,23.0,65.0,683.71,4393.0,
79,2024-02-29 20:22:06.151755,18321,40.62173,-111.87413,1.8,3.8,3.7,268.7,23.0,62.0,858.49,4429.0,
80,2024-02-29 20:22:06.151755,18341,40.975555,-111.89284,1.8,4.1,4.0,261.0,17.0,65.0,862.24,4271.0,
81,2024-02-29 20:22:06.151755,18375,40.656242,-111.91033,0.0,,,,21.0,62.0,861.84,4298.0,
82,2024-02-29 20:22:06.151755,18469,40.735943,-111.80772,18.1,50.5,14.4,154.7,23.0,57.0,834.31,5172.0,
83,2024-02-29 20:22:06.151755,20897,40.782787,-111.94669,2.1,4.3,4.1,258.5,,,,4224.0,
84,2024-02-29 20:22:06.151755,20957,40.64714,-111.91174,1.3,3.7,3.7,269.4,17.0,66.0,860.14,4322.0,
85,2024-02-29 20:22:06.151755,22647,40.57964,-111.80601,1.2,6.2,5.4,231.6,19.0,62.0,836.81,5149.0,
86,2024-02-29 20:22:06.151755,22955,40.741535,-111.818665,1.1,3.2,3.2,282.6,15.0,61.0,843.39,4870.0,
87,2024-02-29 20:22:06.151755,23587,40.709763,-111.8179,0.6,5.6,5.1,235.5,21.0,63.0,849.17,4691.0,
88,2024-02-29 20:22:06.151755,24441,41.02446,-111.932144,1.0,3.6,3.5,274.7,18.0,64.0,859.52,4376.0,
89,2024-02-29 20:22:06.151755,25309,40.9656,-111.89954,0.7,3.6,3.6,273.6,20.0,60.0,862.56,4239.0,
90,2024-02-29 20:22:06.151755,28675,40.77386,-111.858665,0.9,3.3,3.4,278.3,19.0,63.0,852.06,4613.0,
91,2024-02-29 20:22:06.151755,30855,40.682564,-111.97852,1.9,13.8,8.6,185.7,18.0,61.0,861.61,4336.0,
92,2024-02-29 20:22:06.151755,30887,40.942867,-111.89044,1.5,3.7,3.7,270.6,17.0,63.0,864.67,4225.0,
93,2024-02-29 20:22:06.151755,30917,40.908325,-111.8787,12.1,50.9,19.6,54.8,55.0,72.0,681.26,4294.0,
94,2024-02-29 20:22:06.151755,30943,40.63357,-111.88259,1.6,5.1,4.8,241.9,19.0,61.0,860.56,4375.0,
95,2024-02-29 20:22:06.151755,30953,40.939285,-111.8828,16.7,51.1,14.6,149.4,21.0,60.0,862.96,4279.0,
96,2024-02-29 20:22:06.151755,30955,40.61303,-111.895325,1.0,4.1,3.8,270.2,18.0,60.0,860.21,4390.0,
97,2024-02-29 20:22:06.151755,30967,41.0665,-111.912445,1.6,12.4,9.1,158.8,20.0,58.0,847.54,4774.0,
98,2024-02-29 20:22:06.151755,30991,40.67845,-111.89399,1.1,3.2,3.2,282.8,19.0,61.0,864.34,4275.0,
99,2024-02-29 20:22:06.151755,31013,40.697025,-111.8967,12.7,51.0,17.2,89.1,20.0,60.0,863.69,4255.0,
100,2024-02-29 20:22:06.151755,32671,41.140507,-112.08092,0.0,,,,25.0,59.0,860.82,4294.0,
101,2024-02-29 20:22:06.151755,33071,40.861103,-111.884254,1.7,4.3,4.1,261.3,21.0,55.0,854.53,4551.0,
102,2024-02-29 20:22:06.151755,33077,41.137455,-112.029526,1.9,4.2,4.1,260.5,25.0,59.0,854.18,4523.0,
103,2024-02-29 20:22:06.151755,33097,41.106304,-112.06237,0.9,4.1,4.0,262.9,26.0,58.0,859.97,4324.0,
104,2024-02-29 20:22:06.151755,33163,41.06404,-112.02499,0.5,2.0,2.2,313.3,27.0,57.0,861.26,4291.0,
105,2024-02-29 20:22:06.151755,33191,41.09527,-111.9252,1.5,4.4,4.3,254.9,25.0,57.0,846.69,4785.0,
106,2024-02-29 20:22:06.151755,34863,40.609367,-111.886955,1.0,3.0,3.0,287.9,,,,4407.0,
107,2024-02-29 20:22:06.151755,34961,41.084663,-111.99764,0.0,,,,,,,4449.0,
108,2024-02-29 20:22:06.151755,35003,41.06097,-112.03561,2.5,7.7,6.5,204.9,38.0,60.0,,4262.0,
109,2024-02-29 20:22:06.151755,36145,40.899494,-111.851906,1.3,4.6,4.4,252.1,18.0,57.0,838.05,5078.0,
110,2024-02-29 20:22:06.151755,36161,40.703495,-111.951004,1.1,3.6,3.6,272.4,16.0,63.0,863.5,4246.0,
111,2024-02-29 20:22:06.151755,36345,41.315216,-111.94549,1.2,3.6,3.5,274.4,23.0,57.0,848.74,4725.0,
112,2024-02-29 20:22:06.151755,37465,40.611156,-111.91203,1.8,3.6,3.6,272.0,17.0,61.0,859.91,4347.0,
113,2024-02-29 20:22:06.151755,37467,41.07105,-111.987564,0.2,2.9,3.0,290.2,25.0,59.0,858.87,4370.0,
114,2024-02-29 20:22:06.151755,37481,41.074577,-111.93478,1.7,4.4,4.2,255.4,26.0,58.0,852.63,4600.0,
115,2024-02-29 20:22:06.151755,37499,41.057144,-111.949234,2.2,5.0,4.7,245.0,35.0,58.0,858.8,4370.0,
116,2024-02-29 20:22:06.151755,37727,40.72031,-111.8203,1.6,3.4,3.4,276.5,15.0,63.0,850.62,4659.0,
117,2024-02-29 20:22:06.151755,40713,40.84942,-111.87097,1.7,4.5,4.3,254.9,21.0,58.0,835.01,5178.0,
118,2024-02-29 20:22:06.151755,41419,40.9478,-111.88453,1.5,3.9,3.8,266.3,16.0,64.0,863.22,4276.0,
119,2024-02-29 20:22:06.151755,42097,40.739105,-111.80637,3.1,8.0,6.8,198.5,35.0,51.0,851.17,5178.0,
120,2024-02-29 20:22:06.151755,42529,40.751663,-111.86353,2.2,16.6,11.0,130.1,23.0,63.0,860.92,4333.0,94.9
121,2024-02-29 20:22:06.151755,43021,40.792244,-111.88275,3.6,21.5,12.6,111.4,19.0,59.0,843.33,4953.0,
122,2024-02-29 20:22:06.151755,43883,40.620068,-111.840866,1.4,14.1,8.9,177.4,22.0,60.0,854.87,4537.0,
123,2024-02-29 20:22:06.151755,44103,40.89667,-111.85694,3.4,10.4,7.6,191.4,20.0,59.0,848.31,4757.0,
124,2024-02-29 20:22:06.151755,44157,40.574078,-111.9588,16.7,83.5,23.9,36.0,20.0,58.0,856.24,4533.0,
125,2024-02-29 20:22:06.151755,44237,40.785297,-111.863075,2.0,5.5,5.0,238.4,18.0,58.0,839.16,5041.0,
126,2024-02-29 20:22:06.151755,45627,41.14309,-111.93928,1.2,3.9,3.8,266.4,21.0,64.0,855.48,4491.0,
127,2024-02-29 20:22:06.151755,46295,40.723938,-111.83979,0.4,3.4,3.4,276.9,19.0,58.0,856.45,4492.0,
128,2024-02-29 20:22:06.151755,46773,40.67895,-112.03383,1.8,7.8,6.6,201.3,19.0,58.0,855.22,4518.0,
129,2024-02-29 20:22:06.151755,46777,40.68262,-111.994484,1.5,4.2,4.1,259.5,18.0,61.0,860.49,4354.0,
130,2024-02-29 20:22:06.151755,46799,41.087585,-111.97808,1.8,4.2,4.1,259.2,21.0,61.0,854.63,4497.0,
131,2024-02-29 20:22:06.151755,46873,40.689594,-111.9117,0.0,,,,17.0,60.0,863.8,4258.0,
132,2024-02-29 20:22:06.151755,46875,41.097664,-111.97415,2.2,5.5,5.0,235.4,,,,4627.0,
133,2024-02-29 20:22:06.151755,46881,40.675575,-112.01961,3.2,3.4,3.4,278.0,19.0,61.0,855.87,4489.0,
134,2024-02-29 20:22:06.151755,47171,40.689796,-112.08269,1.1,3.2,3.2,284.7,,,,4473.0,
135,2024-02-29 20:22:06.151755,49061,40.74831,-111.84021,1.4,7.2,6.1,213.4,19.0,60.0,851.19,4652.0,
136,2024-02-29 20:22:06.151755,49155,40.735126,-111.882286,0.9,3.2,3.2,281.9,17.0,64.0,863.4,4265.0,
137,2024-02-29 20:22:06.151755,53407,40.74132,-111.86364,2.8,5.5,5.0,235.8,,,,4327.0,
138,2024-02-29 20:22:06.151755,62211,40.773514,-111.862175,1.7,3.7,3.6,271.0,16.0,62.0,854.54,4556.0,
139,2024-02-29 20:22:06.151755,73051,40.84746,-111.90103,1.8,5.4,5.0,236.8,13.0,79.0,857.18,4426.0,
140,2024-02-29 20:22:06.151755,81037,40.76407,-111.86394,0.0,,,,16.0,62.0,858.21,4416.0,
141,2024-02-29 20:22:06.151755,82649,41.10572,-112.009476,1.1,4.1,4.0,261.4,24.0,60.0,855.31,4531.0,
142,2024-02-29 20:22:06.151755,83505,40.691006,-112.05327,2.4,5.8,5.1,237.6,19.0,59.0,859.63,4390.0,
143,2024-02-29 20:22:06.151755,83563,41.15395,-111.93702,1.8,4.0,3.9,263.7,22.0,59.0,845.98,4806.0,
144,2024-02-29 20:22:06.151755,83565,41.100025,-112.00781,1.6,4.0,4.0,262.5,23.0,60.0,854.94,4496.0,
145,2024-02-29 20:22:06.151755,83919,40.689068,-112.03574,1.9,7.7,6.2,217.8,20.0,59.0,858.73,4403.0,
146,2024-02-29 20:22:06.151755,84019,40.68181,-112.01307,0.7,3.1,3.2,283.8,17.0,64.0,858.51,4425.0,
147,2024-02-29 20:22:06.151755,84893,40.710594,-111.82649,0.8,2.8,2.9,291.8,20.0,58.0,853.94,4585.0,
148,2024-02-29 20:22:06.151755,85361,40.97547,-111.93283,1.3,4.0,3.7,273.9,25.0,63.0,790.28,4219.0,
149,2024-02-29 20:22:06.151755,85765,41.118206,-112.042175,2.3,4.4,4.2,256.5,24.0,61.0,856.67,4440.0,
150,2024-02-29 20:22:06.151755,86147,40.70862,-111.97746,2.4,5.9,5.3,229.1,18.0,61.0,705.17,4252.0,
151,2024-02-29 20:22:06.151755,86227,41.014286,-111.93118,3.3,3.7,3.7,270.5,20.0,60.0,860.95,4338.0,
152,2024-02-29 20:22:06.151755,89717,40.581345,-111.8477,1.8,4.1,4.0,261.3,20.0,58.0,848.36,4773.0,
153,2024-02-29 20:22:06.151755,90285,40.78727,-111.93189,3.9,8.2,6.8,201.1,19.0,60.0,864.28,4222.0,
154,2024-02-29 20:22:06.151755,91661,40.779472,-111.865944,3.8,5.7,5.1,235.1,17.0,61.0,849.14,4721.0,
155,2024-02-29 20:22:06.151755,91975,40.710438,-111.84749,1.6,5.8,5.2,231.7,18.0,61.0,857.07,4455.0,
156,2024-02-29 20:22:06.151755,94765,40.717,-111.8062,2.2,5.3,4.9,239.2,20.0,56.0,840.95,5008.0,
157,2024-02-29 20:22:06.151755,97391,40.7667,-111.90304,1.9,23.1,11.9,136.0,19.0,64.0,878.35,4254.0,
158,2024-02-29 20:22:06.151755,100865,40.692505,-111.81041,2.2,4.7,4.5,250.3,17.0,59.0,847.31,4777.0,
159,2024-02-29 20:22:06.151755,101025,40.634884,-111.835976,1.7,9.9,7.4,192.6,16.0,66.0,856.77,4449.0,
160,2024-02-29 20:22:06.151755,102166,40.70351,-111.84731,0.6,3.3,3.3,279.0,19.0,60.0,857.03,4447.0,
161,2024-02-29 20:22:06.151755,104574,40.777283,-111.83989,2.0,4.2,4.1,259.7,17.0,61.0,838.48,5094.0,
162,2024-02-29 20:22:06.151755,105030,40.79087,-111.86294,2.2,6.1,5.5,225.5,,,,5313.0,
163,2024-02-29 20:22:06.151755,106632,40.57614,-111.98359,1.2,7.3,6.1,217.4,69.0,69.0,731.88,4649.0,
164,2024-02-29 20:22:06.151755,108126,41.19397,-111.9427,1.4,3.8,3.8,267.1,24.0,58.0,850.08,4676.0,
165,2024-02-29 20:22:06.151755,108132,41.178967,-111.94593,1.0,3.4,3.5,275.9,26.0,56.0,845.77,4797.0,
166,2024-02-29 20:22:06.151755,108192,41.218002,-111.959694,3.0,4.8,4.6,247.3,16.0,68.0,858.97,4396.0,
167,2024-02-29 20:22:06.151755,108206,41.09873,-111.98162,2.2,5.2,4.8,240.7,24.0,58.0,852.45,4607.0,
