,count,mean,std,min,25%,50%,75%,max
pm2.5_cf_1_a,616.0,72.86923701298701,522.5636574887644,0.0,1.91,15.545,28.55,4993.53
pm10.0_atm,616.0,29.441720779220777,185.5517575451416,0.0,1.975,17.6,31.875,3325.8
pm10.0_atm_a,616.0,55.970470779220776,347.7678413127395,0.0,2.3825000000000003,17.605,31.98,3328.34
pm10.0_cf_1,616.0,35.296915584415586,278.320595757826,0.0,1.975,17.6,31.875,4989.8
pm10.0_cf_1_a,616.0,75.05733766233764,522.394230070343,0.0,2.3825000000000003,17.605,31.98,4993.53
primary_id_a,586.0,1018822.4317406144,492872.1182704318,84144.0,579368.0,959891.0,1462295.0,2186572.0
primary_id_b,586.0,1022078.6894197952,488802.118578965,179972.0,579683.75,959894.0,1462297.0,2186576.0
secondary_id_a,586.0,1018823.6023890785,492872.1489284078,84145.0,579369.0,959893.0,1462296.0,2186574.0
secondary_id_b,586.0,1022079.8481228669,488802.1103202754,179973.0,579684.75,959896.0,1462298.0,2186578.0
confidence_auto,487.0,85.8870636550308,32.64608789011115,0.0,100.0,100.0,100.0,100.0
confidence_manual,487.0,85.17043121149898,32.68640290070684,0.0,100.0,100.0,100.0,100.0
humidity,576.0,33.786458333333336,14.88288976001286,2.0,23.0,33.0,41.0,100.0
humidity_a,576.0,33.833333333333336,15.172400572435292,2.0,23.0,32.5,41.0,100.0
temperature,576.0,65.83854166666667,12.857613841442438,33.0,56.0,64.0,76.0,123.0
temperature_a,576.0,65.85590277777777,12.853897391067685,33.0,56.0,64.0,76.0,123.0
pressure,572.0,850.5525174825176,42.141437880617325,623.81,850.2025,864.19,871.9449999999999,991.48
pressure_a,572.0,850.5573251748252,42.14022268734777,623.81,850.415,864.19,871.9449999999999,991.48
pm1.0_b,487.0,134.13613963039015,644.6196649786973,0.0,4.15,12.9,20.1,4997.4
pm2.5_b,487.0,140.82073921971252,643.43312176338,0.0,6.05,21.0,31.2,4997.4
pm2.5_alt_b,487.0,11.613757700205339,9.493775069420069,0.0,3.3,10.9,17.0,81.0
pm10.0_b,487.0,143.93264887063657,642.9163545215519,0.0,7.199999999999999,23.0,35.349999999999994,4997.4
scattering_coefficient_b,414.0,42.73816425120773,50.95518842683837,0.1,14.2,36.1,54.5,585.2
deciviews_b,414.0,15.520289855072463,7.112310639141475,0.1,9.95,16.7,20.2,42.7
visual_range_b,414.0,106.46739130434783,82.40783757864833,5.5,51.7,73.15,144.325,385.1
0.3_um_count_b,487.0,2524.889117043121,3233.4791331555084,0.0,736.5,2028.0,3397.0,39016.0
0.5_um_count_b,487.0,714.258726899384,736.935065624745,0.0,238.5,672.0,985.5,9446.0
1.0_um_count_b,487.0,117.98562628336755,93.41663940246939,0.0,30.5,107.0,182.0,691.0
2.5_um_count_b,487.0,10.8870636550308,12.977091916572295,0.0,1.0,7.0,16.5,143.0
5.0_um_count_b,487.0,3.5544147843942504,12.389620307940232,0.0,0.0,1.0,4.0,137.0
10.0_um_count_b,487.0,3.515400410677618,30.72249462396548,0.0,0.0,0.0,1.0,354.0
pm1.0_cf_1_b,487.0,190.84012320328543,935.3436052353794,0.0,4.140000000000001,12.91,20.58,6091.4
pm1.0_atm_b,487.0,130.71498973305955,622.8089456980465,0.0,4.140000000000001,12.91,20.07,4060.25
pm2.5_atm_b,487.0,137.40004106776183,621.6174501485752,0.0,6.035,21.02,31.21,4060.25
pm2.5_cf_1_b,487.0,197.91823408624228,934.0668216554162,0.0,6.035,21.02,32.06,6091.4
pm10.0_atm_b,487.0,140.51404517453798,621.0993808475085,0.0,7.199999999999999,23.05,35.334999999999994,4060.25
pm10.0_cf_1_b,487.0,200.47133470225873,933.626790359962,0.0,7.199999999999999,23.05,35.334999999999994,6091.4
altitude,605.0,4932.745454545455,796.9485417175285,4219.0,4418.0,4652.0,5075.0,8804.0
ozone1,1.0,145.0,,145.0,145.0,145.0,145.0,145.0
humidity_b,56.0,25.482142857142858,10.421989116423848,11.0,18.0,24.5,29.0,65.0
temperature_b,56.0,72.48214285714286,14.322253595434905,43.0,61.0,70.0,86.0,93.0
pressure_b,56.0,856.7758928571428,20.808865923122614,798.91,849.665,863.9549999999999,869.9925000000001,880.02
voc,56.0,117.47321428571426,113.62994402256574,50.0,56.925,69.25,114.55000000000001,532.4
voc_b,56.0,117.47749999999999,113.62697929069168,50.0,56.9225,69.25,114.53999999999999,532.37
