,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
16,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-09-01,00:00,2023-09-01,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-10-31,36260
17,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-09-02,00:00,2023-09-02,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-10-31,36260
18,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-22,00:00,2023-03-22,07:00,2.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,Y - Elapsed Sample Time out of Spec.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
19,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-23,00:00,2023-03-23,07:00,1.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,Y - Elapsed Sample Time out of Spec.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
20,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-03-30,00:00,2023-03-30,07:00,1.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,Y - Elapsed Sample Time out of Spec.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-04-13,36260
21,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-05,00:00,2023-01-05,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AV - Power Failure.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
22,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-06,00:00,2023-01-06,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AV - Power Failure.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
23,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-24,00:00,2023-01-24,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AV - Power Failure.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
24,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-01,00:00,2023-01-01,07:00,2.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
25,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-02,00:00,2023-01-02,07:00,3.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
